Accession,Main gene name,Main protein name,Other gene names,Other protein names
Q13501,SQSTM1,SQSTM_HUMAN,ORCA; OSIL,Sequestosome-1; EBI3-associated protein of 60 kDa; Phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa; Ubiquitin-binding protein p62
P05787,KRT8,K2C8_HUMAN,CYK8,"Keratin, type II cytoskeletal 8; Type-II keratin Kb8; Keratin-8; Cytokeratin-8"
P04406,GAPDH,G3P_HUMAN,GAPD; CDABP0047; OK/SW-cl.12,Glyceraldehyde-3-phosphate dehydrogenase; Peptidyl-cysteine S-nitrosylase GAPDH
Q02297-6,NRG1,NRG1-6_HUMAN,GGF; SMDF; HRGA; NDF; HGL,"Isoform 6 of Pro-neuregulin-1, membrane-bound isoform"
P51398,DAP3,RT29_HUMAN,MRPS29,"28S ribosomal protein S29, mitochondrial; Death-associated protein 3; Ionizing radiation resistance conferring protein; Mitochondrial small ribosomal subunit protein mS29"
P42224,STAT1,STAT1_HUMAN,,Signal transducer and activator of transcription 1-alpha/beta; Transcription factor ISGF-3 components p91/p84
P62753,RPS6,RS6_HUMAN,OK/SW-cl.2,40S ribosomal protein S6; Phosphoprotein NP33; Small ribosomal subunit protein eS6
Q99808,SLC29A1,S29A1_HUMAN,ENT1,"Equilibrative nucleoside transporter 1; Equilibrative nitrobenzylmercaptopurine riboside-sensitive nucleoside transporter; Nucleoside transporter, es-type; Solute carrier family 29 member 1"
Q14247,CTTN,SRC8_HUMAN,EMS1,Src substrate cortactin; Oncogene EMS1; Amplaxin
P98082,DAB2,DAB2_HUMAN,DOC2,Disabled homolog 2; Differentially-expressed protein 2; Differentially expressed in ovarian carcinoma 2; Adaptor molecule disabled-2
Q15139,PRKD1,KPCD1_HUMAN,PKD; PKD1; PRKCM,Serine/threonine-protein kinase D1; Protein kinase C mu type; Protein kinase D; nPKC-D1; nPKC-mu
P17405,SMPD1,ASM_HUMAN,ASM,Sphingomyelin phosphodiesterase; Acid sphingomyelinase
P68431,H3C12,H31_HUMAN,HIST1H3J; H3FJ,Histone H3.1; Histone H3/l; Histone H3/j; Histone H3/k; Histone H3/b; Histone H3/c; Histone H3/a; Histone H3/h; Histone H3/i; Histone H3/d; Histone H3/f
P28329-3,CHAT,CLAT-3_HUMAN,,Isoform R of Choline O-acetyltransferase
P13498,CYBA,CY24A_HUMAN,,Cytochrome b-245 light chain; p22-phox; Cytochrome b558 subunit alpha; Neutrophil cytochrome b 22 kDa polypeptide; Superoxide-generating NADPH oxidase light chain subunit; p22 phagocyte B-cytochrome; Cytochrome b(558) alpha chain
P04637,TP53,P53_HUMAN,P53,Cellular tumor antigen p53; Tumor suppressor p53; Antigen NY-CO-13; Phosphoprotein p53
Q8TCU6,PREX1,PREX1_HUMAN,KIAA1415,"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein"
P78536,ADAM17,ADA17_HUMAN,CSVP; TACE,Disintegrin and metalloproteinase domain-containing protein 17; Snake venom-like protease; TNF-alpha convertase; TNF-alpha-converting enzyme
P12830,CDH1,CADH1_HUMAN,CDHE; UVO,Cadherin-1; CAM 120/80; Epithelial cadherin; Uvomorulin
P35568,IRS1,IRS1_HUMAN,,Insulin receptor substrate 1
P21730,C5AR1,C5AR1_HUMAN,C5AR; C5R1,C5a anaphylatoxin chemotactic receptor 1; C5a anaphylatoxin chemotactic receptor
Q9NRY6,PLSCR3,PLS3_HUMAN,,Phospholipid scramblase 3; Ca(2+)-dependent phospholipid scramblase 3
Q96A00,PPP1R14A,PP14A_HUMAN,CPI17; PPP1INL,Protein phosphatase 1 regulatory subunit 14A; Protein kinase C-potentiated inhibitor protein of 17 kDa; 17 kDa PKC-potentiated inhibitory protein of PP1
P53671,LIMK2,LIMK2_HUMAN,,LIM domain kinase 2
Q00535,CDK5,CDK5_HUMAN,CDKN5,Cyclin-dependent-like kinase 5; Serine/threonine-protein kinase PSSALRE; Tau protein kinase II catalytic subunit; Cell division protein kinase 5
P10588,NR2F6,NR2F6_HUMAN,EAR2; ERBAL2,Nuclear receptor subfamily 2 group F member 6; V-erbA-related protein 2
P40189,IL6ST,IL6RB_HUMAN,,Interleukin-6 receptor subunit beta; Oncostatin-M receptor subunit alpha; Interleukin-6 signal transducer; Membrane glycoprotein 130; CDw130
Q96D96-4,HVCN1,HVCN1-4_HUMAN,VSOP; UNQ578/PRO1140,Isoform 4 of Voltage-gated hydrogen channel 1; Hydrogen voltage-gated channel 1; Voltage sensor domain-only protein
P23396,RPS3,RS3_HUMAN,OK/SW-cl.26,40S ribosomal protein S3; Small ribosomal subunit protein uS3
O14939,PLD2,PLD2_HUMAN,,Phospholipase D2; Phosphatidylcholine-hydrolyzing phospholipase D2; PLD1C; Choline phosphatase 2
O95817,BAG3,BAG3_HUMAN,BIS,BAG family molecular chaperone regulator 3; Bcl-2-associated athanogene 3; Bcl-2-binding protein Bis; Docking protein CAIR-1
P29353-2,SHC1,SHC1-2_HUMAN,SHC; SHCA,Isoform p52Shc of SHC-transforming protein 1; SHC-transforming protein 3; SHC-transforming protein A; Src homology 2 domain-containing-transforming protein C1
Q15717,ELAVL1,ELAV1_HUMAN,HUR,ELAV-like protein 1; Hu-antigen R
O00165,HAX1,HAX1_HUMAN,HS1BP1,HCLS1-associated protein X-1; HS1-binding protein 1; HS1-associating protein X-1
P35222,CTNNB1,CTNB1_HUMAN,CTNNB; OK/SW-cl.35; PRO2286,Catenin beta-1; Beta-catenin
P61073,CXCR4,CXCR4_HUMAN,,C-X-C chemokine receptor type 4; FB22; Fusin; HM89; LCR1; Leukocyte-derived seven transmembrane domain receptor; Lipopolysaccharide-associated protein 3; NPYRL; Stromal cell-derived factor 1 receptor
P49840,GSK3A,GSK3A_HUMAN,,Glycogen synthase kinase-3 alpha; Serine/threonine-protein kinase GSK3A
Q96C90,PPP1R14B,PP14B_HUMAN,PLCB3N; PNG,Protein phosphatase 1 regulatory subunit 14B; Phospholipase C-beta-3 neighbouring gene protein
P30273,FCER1G,FCERG_HUMAN,,High affinity immunoglobulin epsilon receptor subunit gamma; Fc-epsilon RI-gamma; IgE Fc receptor subunit gamma; Fc receptor gamma-chain
Q9BZK7,TBL1XR1,TBL1R_HUMAN,IRA1; TBLR1,F-box-like/WD repeat-containing protein TBL1XR1; Nuclear receptor corepressor/HDAC3 complex subunit TBLR1; Transducin beta-like 1X-related protein 1; TBL1-related protein 1
P40763,STAT3,STAT3_HUMAN,APRF,Signal transducer and activator of transcription 3; Acute-phase response factor
P49841,GSK3B,GSK3B_HUMAN,,Glycogen synthase kinase-3 beta; Serine/threonine-protein kinase GSK3B
O00429,DNM1L,DNM1L_HUMAN,DLP1; DRP1,Dynamin-1-like protein; Dnm1p/Vps1p-like protein; Dynamin family member proline-rich carboxyl-terminal domain less; Dynamin-like protein; Dynamin-like protein 4; Dynamin-like protein IV; Dynamin-related protein 1
Q09472,EP300,EP300_HUMAN,P300,Histone acetyltransferase p300; E1A-associated protein p300; Histone butyryltransferase p300; Histone crotonyltransferase p300; Protein 2-hydroxyisobutyryltransferase p300; Protein propionyltransferase p300
Q01543,FLI1,FLI1_HUMAN,,Friend leukemia integration 1 transcription factor; Transcription factor ERGB; Proto-oncogene Fli-1
P08581,MET,MET_HUMAN,,Hepatocyte growth factor receptor; Tyrosine-protein kinase Met; Scatter factor receptor; Proto-oncogene c-Met; HGF/SF receptor
Q9UQ80,PA2G4,PA2G4_HUMAN,EBP1,Proliferation-associated protein 2G4; ErbB3-binding protein 1; Cell cycle protein p38-2G4 homolog
Q96D96,HVCN1,HVCN1_HUMAN,VSOP; UNQ578/PRO1140,Voltage-gated hydrogen channel 1; Hydrogen voltage-gated channel 1; Voltage sensor domain-only protein
P04040,CAT,CATA_HUMAN,,Catalase
O15350-2,TP73,P73-2_HUMAN,P73,Isoform Beta of Tumor protein p73; p53-like transcription factor; p53-related protein
P12931,SRC,SRC_HUMAN,SRC1,Proto-oncogene tyrosine-protein kinase Src; Proto-oncogene c-Src; pp60c-src
P52757,CHN2,CHIO_HUMAN,ARHGAP3; BCH,Beta-chimaerin; Beta-chimerin; Rho GTPase-activating protein 3
P30086,PEBP1,PEBP1_HUMAN,PBP; PEBP,Phosphatidylethanolamine-binding protein 1; Prostatic-binding protein; Raf kinase inhibitor protein; HCNPpp; Neuropolypeptide h3
Q8IV61,RASGRP3,GRP3_HUMAN,GRP3; KIAA0846,Ras guanyl-releasing protein 3; Calcium and DAG-regulated guanine nucleotide exchange factor III; Guanine nucleotide exchange factor for Rap1
P14618,PKM,KPYM_HUMAN,OIP3; PK2; PK3; PKM2,Pyruvate kinase PKM; Cytosolic thyroid hormone-binding protein; Tumor M2-PK; p58; Thyroid hormone-binding protein 1; Pyruvate kinase 2/3; Pyruvate kinase muscle isozyme; Opa-interacting protein 3
P38936,CDKN1A,CDN1A_HUMAN,SDI1; CDKN1; WAF1; PIC1; MDA6; CIP1; CAP20,Cyclin-dependent kinase inhibitor 1; CDK-interacting protein 1; Melanoma differentiation-associated protein 6; p21
P24588,AKAP5,AKAP5_HUMAN,AKAP79,A-kinase anchor protein 5; A-kinase anchor protein 79 kDa; H21; cAMP-dependent protein kinase regulatory subunit II high affinity-binding protein
P35367,HRH1,HRH1_HUMAN,,Histamine H1 receptor
Q15796,SMAD2,SMAD2_HUMAN,MADH2; MADR2,Mothers against decapentaplegic homolog 2; JV18-1; Mad-related protein 2; SMAD family member 2
P15036,ETS2,ETS2_HUMAN,,Protein C-ets-2
P23677,ITPKA,IP3KA_HUMAN,,"Inositol-trisphosphate 3-kinase A; Inositol 1,4,5-trisphosphate 3-kinase A"
Q9Y618,NCOR2,NCOR2_HUMAN,CTG26,"Nuclear receptor corepressor 2; CTG repeat protein 26; SMAP270; Silencing mediator of retinoic acid and thyroid hormone receptor; T3 receptor-associating factor; Thyroid-, retinoic-acid-receptor-associated corepressor"
Q9UQM7,CAMK2A,KCC2A_HUMAN,CAMKA; KIAA0968,Calcium/calmodulin-dependent protein kinase type II subunit alpha
Q4G163,FBXO43,FBX43_HUMAN,EMI2,F-box only protein 43; Endogenous meiotic inhibitor 2
P55042,RRAD,RAD_HUMAN,RAD,GTP-binding protein RAD; RAD1; Ras associated with diabetes
P05556,ITGB1,ITB1_HUMAN,FNRB; MDF2; MSK12,Integrin beta-1; VLA-4 subunit beta; Fibronectin receptor subunit beta; Glycoprotein IIa
Q96PM5,RCHY1,ZN363_HUMAN,ARNIP; ZNF363; RNF199; PIRH2; CHIMP,RING finger and CHY zinc finger domain-containing protein 1; Androgen receptor N-terminal-interacting protein; CH-rich-interacting match with PLAG1; E3 ubiquitin-protein ligase Pirh2; RING finger protein 199; RING-type E3 ubiquitin transferase RCHY1; Zinc finger protein 363; p53-induced RING-H2 protein
O15273,TCAP,TELT_HUMAN,,Telethonin; Titin cap protein
P16949,STMN1,STMN1_HUMAN,C1orf215; LAP18; OP18,Stathmin; Phosphoprotein p19; Prosolin; pp17; Protein Pr22; Leukemia-associated phosphoprotein p18; Oncoprotein 18; Metablastin
O00631,SLN,SARCO_HUMAN,,Sarcolipin
P14921,ETS1,ETS1_HUMAN,EWSR2,Protein C-ets-1; p54
P07101,TH,TY3H_HUMAN,TYH,Tyrosine 3-monooxygenase; Tyrosine 3-hydroxylase
P35270,SPR,SPRE_HUMAN,,Sepiapterin reductase
P43003,SLC1A3,EAA1_HUMAN,EAAT1; GLAST; GLAST1,Excitatory amino acid transporter 1; Sodium-dependent glutamate/aspartate transporter 1; Solute carrier family 1 member 3
P35372,OPRM1,OPRM_HUMAN,MOR1,Mu-type opioid receptor; Mu opioid receptor; Mu opiate receptor
Q9Y496,KIF3A,KIF3A_HUMAN,KIF3,Kinesin-like protein KIF3A; Microtubule plus end-directed kinesin motor 3A
P46527,CDKN1B,CDN1B_HUMAN,KIP1,Cyclin-dependent kinase inhibitor 1B; Cyclin-dependent kinase inhibitor p27; p27Kip1
P11831,SRF,SRF_HUMAN,,Serum response factor
Q9Y4D2,DAGLA,DGLA_HUMAN,C11orf11; KIAA0659; NSDDR,Sn1-specific diacylglycerol lipase alpha; Neural stem cell-derived dendrite regulator
Q9BXL7,CARD11,CAR11_HUMAN,CARMA1,Caspase recruitment domain-containing protein 11; CARD-containing MAGUK protein 1
Q92736,RYR2,RYR2_HUMAN,,Ryanodine receptor 2; Cardiac muscle ryanodine receptor-calcium release channel; Type 2 ryanodine receptor; Cardiac muscle ryanodine receptor
P08670,VIM,VIME_HUMAN,,Vimentin
Q01970,PLCB3,PLCB3_HUMAN,,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3; Phospholipase C-beta-3; Phosphoinositide phospholipase C-beta-3"
O14713,ITGB1BP1,ITBP1_HUMAN,ICAP1,Integrin beta-1-binding protein 1; Integrin cytoplasmic domain-associated protein 1
Q96PH1-4,NOX5,NOX5-4_HUMAN,,Isoform v2 of NADPH oxidase 5
P31645,SLC6A4,SC6A4_HUMAN,HTT; SERT,Sodium-dependent serotonin transporter; 5HT transporter; Solute carrier family 6 member 4
P21333,FLNA,FLNA_HUMAN,FLN; FLN1,Filamin-A; Actin-binding protein 280; Alpha-filamin; Filamin-1; Endothelial actin-binding protein; Non-muscle filamin
P16070,CD44,CD44_HUMAN,LHR; MDU3; MIC4; MDU2,CD44 antigen; GP90 lymphocyte homing/adhesion receptor; HUTCH-I; Heparan sulfate proteoglycan; CDw44; Epican; Extracellular matrix receptor III; Phagocytic glycoprotein I; Hermes antigen; Hyaluronate receptor; Phagocytic glycoprotein 1
O43526-4,KCNQ2,KCNQ2-4_HUMAN,,Isoform 4 of Potassium voltage-gated channel subfamily KQT member 2; KQT-like 2; Neuroblastoma-specific potassium channel subunit alpha KvLQT2; Voltage-gated potassium channel subunit Kv7.2
Q14674,ESPL1,ESPL1_HUMAN,ESP1; KIAA0165,Separin; Extra spindle poles-like 1 protein; Caspase-like protein ESPL1; Separase
O95180,CACNA1H,CAC1H_HUMAN,,Voltage-dependent T-type calcium channel subunit alpha-1H; Voltage-gated calcium channel subunit alpha Cav3.2; Low-voltage-activated calcium channel alpha1 3.2 subunit
P07101-3,TH,TY3H-3_HUMAN,TYH,Isoform 2 of Tyrosine 3-monooxygenase; Tyrosine 3-hydroxylase
P78352,DLG4,DLG4_HUMAN,PSD95,Disks large homolog 4; Postsynaptic density protein 95; Synapse-associated protein 90
Q06210,GFPT1,GFPT1_HUMAN,GFAT; GFPT,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1; D-fructose-6-phosphate amidotransferase 1; Glutamine:fructose-6-phosphate amidotransferase 1; Hexosephosphate aminotransferase 1
Q14457,BECN1,BECN1_HUMAN,GT197,Beclin-1; Coiled-coil myosin-like BCL2-interacting protein; Protein GT197
O14490-2,DLGAP1,DLGP1-2_HUMAN,DAP1; GKAP,Isoform 2 of Disks large-associated protein 1; Guanylate kinase-associated protein; PSD-95/SAP90-binding protein 1; SAP90/PSD-95-associated protein 1
Q13224,GRIN2B,NMDE2_HUMAN,NMDAR2B,"Glutamate receptor ionotropic, NMDA 2B; Glutamate [NMDA] receptor subunit epsilon-2; N-methyl D-aspartate receptor subtype 2B; N-methyl-D-aspartate receptor subunit 3"
P42261,GRIA1,GRIA1_HUMAN,GLUH1; GLUR1,"Glutamate receptor 1; GluR-K1; Glutamate receptor ionotropic, AMPA 1; AMPA-selective glutamate receptor 1; GluR-A"
P09917,ALOX5,LOX5_HUMAN,LOG5,Arachidonate 5-lipoxygenase
Q04760,GLO1,LGUL_HUMAN,,Lactoylglutathione lyase; Methylglyoxalase; S-D-lactoylglutathione methylglyoxal lyase; Ketone-aldehyde mutase; Aldoketomutase; Glyoxalase I
P37840,SNCA,SYUA_HUMAN,NACP; PARK1,Alpha-synuclein; Non-A beta component of AD amyloid; Non-A4 component of amyloid precursor
P41134,ID1,ID1_HUMAN,BHLHB24; ID,DNA-binding protein inhibitor ID-1; Inhibitor of differentiation 1; Inhibitor of DNA binding 1; Class B basic helix-loop-helix protein 24
P10636-8,MAPT,TAU-8_HUMAN,MAPTL; MTBT1; TAU,Isoform Tau-F of Microtubule-associated protein tau; Neurofibrillary tangle protein; Paired helical filament-tau
P55055,NR1H2,NR1H2_HUMAN,LXRB; NER; UNR,Oxysterols receptor LXR-beta; Ubiquitously-expressed nuclear receptor; Nuclear receptor subfamily 1 group H member 2; Nuclear receptor NER; Liver X receptor beta
P51790,CLCN3,CLCN3_HUMAN,,H(+)/Cl(-) exchange transporter 3; Chloride channel protein 3; Chloride transporter ClC-3
Q00613,HSF1,HSF1_HUMAN,HSTF1,Heat shock factor protein 1; Heat shock transcription factor 1
P26678,PLN,PPLA_HUMAN,PLB,Cardiac phospholamban
O95786,DDX58,DDX58_HUMAN,,Antiviral innate immune response receptor RIG-I; DEAD box protein 58; Probable ATP-dependent RNA helicase DDX58; RIG-I-like receptor 1; Retinoic acid-inducible gene 1 protein; Retinoic acid-inducible gene I protein
Q13153,PAK1,PAK1_HUMAN,,Serine/threonine-protein kinase PAK 1; Alpha-PAK; p21-activated kinase 1; p65-PAK
P35638,DDIT3,DDIT3_HUMAN,CHOP; CHOP10; GADD153,DNA damage-inducible transcript 3 protein; C/EBP zeta; C/EBP-homologous protein; C/EBP-homologous protein 10; Growth arrest and DNA damage-inducible protein GADD153; CCAAT/enhancer-binding protein homologous protein
P08473,MME,NEP_HUMAN,EPN,Neprilysin; Atriopeptidase; Common acute lymphocytic leukemia antigen; Enkephalinase; Neutral endopeptidase 24.11; Skin fibroblast elastase
P60484,PTEN,PTEN_HUMAN,MMAC1; TEP1,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN; Mutated in multiple advanced cancers 1; Phosphatase and tensin homolog"
O75582,RPS6KA5,KS6A5_HUMAN,MSK1,Ribosomal protein S6 kinase alpha-5; Nuclear mitogen- and stress-activated protein kinase 1; RSK-like protein kinase; 90 kDa ribosomal protein S6 kinase 5
P41236,PPP1R2,IPP2_HUMAN,IPP2,Protein phosphatase inhibitor 2
P51636,CAV2,CAV2_HUMAN,,Caveolin-2
Q01082,SPTBN1,SPTB2_HUMAN,SPTB2,"Spectrin beta chain, non-erythrocytic 1; Beta-II spectrin; Spectrin, non-erythroid beta chain 1; Fodrin beta chain"
Q9UNN5,FAF1,FAF1_HUMAN,UBXD12; UBXN3A; CGI-03,FAS-associated factor 1; UBX domain-containing protein 3A; UBX domain-containing protein 12
P35580,MYH10,MYH10_HUMAN,,"Myosin-10; Non-muscle myosin heavy chain IIb; Non-muscle myosin heavy chain B; Myosin heavy chain, non-muscle IIb; Myosin heavy chain 10; Cellular myosin heavy chain, type B"
Q8N5P1,ZC3H8,ZC3H8_HUMAN,ZC3HDC8,Zinc finger CCCH domain-containing protein 8
P30260,CDC27,CDC27_HUMAN,ANAPC3; D0S1430E; D17S978E,Cell division cycle protein 27 homolog; H-NUC; Anaphase-promoting complex subunit 3; CDC27 homolog
Q16625,OCLN,OCLN_HUMAN,,Occludin
Q13148,TARDBP,TADBP_HUMAN,TDP43,TAR DNA-binding protein 43
P32004,L1CAM,L1CAM_HUMAN,CAML1; MIC5,Neural cell adhesion molecule L1
Q14449,GRB14,GRB14_HUMAN,,Growth factor receptor-bound protein 14; GRB14 adapter protein
P83916,CBX1,CBX1_HUMAN,CBX,Chromobox protein homolog 1; p25beta; Heterochromatin protein 1 homolog beta; HP1Hsbeta; Modifier 1 protein; M31; Heterochromatin protein p25
Q15555,MAPRE2,MARE2_HUMAN,RP1,Microtubule-associated protein RP/EB family member 2; APC-binding protein EB2; End-binding protein 2
P03372,ESR1,ESR1_HUMAN,ESR; NR3A1,Estrogen receptor; Estradiol receptor; Nuclear receptor subfamily 3 group A member 1; ER-alpha
Q13428,TCOF1,TCOF_HUMAN,,Treacle protein; Treacher Collins syndrome protein
P42892-3,ECE1,ECE1-3_HUMAN,,Isoform C of Endothelin-converting enzyme 1
P04004,VTN,VTNC_HUMAN,,Vitronectin; Serum-spreading factor; V75; S-protein
Q15287,RNPS1,RNPS1_HUMAN,LDC2,RNA-binding protein with serine-rich domain 1; SR-related protein LDC2
P35221,CTNNA1,CTNA1_HUMAN,,Catenin alpha-1; Cadherin-associated protein; Alpha E-catenin; Renal carcinoma antigen NY-REN-13
P25490,YY1,TYY1_HUMAN,INO80S,Transcriptional repressor protein YY1; Delta transcription factor; NF-E1; INO80 complex subunit S; Yin and yang 1
P42768,WAS,WASP_HUMAN,IMD2,Wiskott-Aldrich syndrome protein
O60936,NOL3,NOL3_HUMAN,ARC; NOP,Nucleolar protein 3; Apoptosis repressor with CARD; Muscle-enriched cytoplasmic protein; Nucleolar protein of 30 kDa
P25686,DNAJB2,DNJB2_HUMAN,HSJ1; HSPF3,DnaJ homolog subfamily B member 2; Heat shock 40 kDa protein 3; Heat shock protein J1
Q8N5B7,CERS5,CERS5_HUMAN,LASS5,Ceramide synthase 5; LAG1 longevity assurance homolog 5; Sphingosine N-acyltransferase CERS5
P55010,EIF5,IF5_HUMAN,,Eukaryotic translation initiation factor 5
Q96PX8,SLITRK1,SLIK1_HUMAN,KIAA1910; LRRC12; UNQ233/PRO266,SLIT and NTRK-like protein 1; Leucine-rich repeat-containing protein 12
P05114,HMGN1,HMGN1_HUMAN,HMG14,Non-histone chromosomal protein HMG-14; High mobility group nucleosome-binding domain-containing protein 1
Q6VY07,PACS1,PACS1_HUMAN,KIAA1175,Phosphofurin acidic cluster sorting protein 1
Q13393,PLD1,PLD1_HUMAN,,Phospholipase D1; Phosphatidylcholine-hydrolyzing phospholipase D1; Choline phosphatase 1
P49959,MRE11,MRE11_HUMAN,HNGS1; MRE11A,Double-strand break repair protein MRE11; Double-strand break repair protein MRE11A; Meiotic recombination 11 homolog 1; Meiotic recombination 11 homolog A
P08235,NR3C2,MCR_HUMAN,MCR; MLR,Mineralocorticoid receptor; Nuclear receptor subfamily 3 group C member 2
P45984,MAPK9,MK09_HUMAN,JNK2; PRKM9; SAPK1A,Mitogen-activated protein kinase 9; JNK-55; Stress-activated protein kinase 1a; Stress-activated protein kinase JNK2; c-Jun N-terminal kinase 2
P05412,JUN,JUN_HUMAN,,Transcription factor AP-1; Proto-oncogene c-Jun; V-jun avian sarcoma virus 17 oncogene homolog; p39; Activator protein 1
P18846,ATF1,ATF1_HUMAN,,Cyclic AMP-dependent transcription factor ATF-1; Activating transcription factor 1; Protein TREB36
Q96FW1,OTUB1,OTUB1_HUMAN,OTB1; OTU1; HSPC263,Ubiquitin thioesterase OTUB1; Deubiquitinating enzyme OTUB1; OTU domain-containing ubiquitin aldehyde-binding protein 1; Otubain-1; Ubiquitin-specific-processing protease OTUB1
Q9UKD2,MRTO4,MRT4_HUMAN,C1orf33; MRT4,mRNA turnover protein 4 homolog; Ribosome assembly factor MRTO4
Q04724,TLE1,TLE1_HUMAN,,Transducin-like enhancer protein 1; Enhancer of split groucho-like protein 1; E(Sp1) homolog
P35226,BMI1,BMI1_HUMAN,PCGF4; RNF51,Polycomb complex protein BMI-1; Polycomb group RING finger protein 4; RING finger protein 51
Q9Y6W5,WASF2,WASF2_HUMAN,WAVE2,Wiskott-Aldrich syndrome protein family member 2; Protein WAVE-2; Verprolin homology domain-containing protein 2
O14958,CASQ2,CASQ2_HUMAN,,"Calsequestrin-2; Calsequestrin, cardiac muscle isoform"
Q15003,NCAPH,CND2_HUMAN,CAPH; KIAA0074; BRRN; BRRN1,Condensin complex subunit 2; XCAP-H homolog; Chromosome-associated protein H; Barren homolog protein 1; Non-SMC condensin I complex subunit H
Q9BSI4,TINF2,TINF2_HUMAN,TIN2,TERF1-interacting nuclear factor 2; TRF1-interacting nuclear protein 2
P09629,HOXB7,HXB7_HUMAN,HOX2C,Homeobox protein Hox-B7; Homeobox protein Hox-2C; Homeobox protein HHO.C1
P60983,GMFB,GMFB_HUMAN,,Glia maturation factor beta
P08195,SLC3A2,4F2_HUMAN,MDU1,4F2 cell-surface antigen heavy chain; 4F2 heavy chain antigen; Lymphocyte activation antigen 4F2 large subunit; Solute carrier family 3 member 2
Q06787,FMR1,FMR1_HUMAN,,Synaptic functional regulator FMR1; Fragile X mental retardation protein 1
Q9HA82,CERS4,CERS4_HUMAN,LASS4,Ceramide synthase 4; LAG1 longevity assurance homolog 4; Sphingosine N-acyltransferase CERS4
Q14676,MDC1,MDC1_HUMAN,KIAA0170; NFBD1,Mediator of DNA damage checkpoint protein 1; Nuclear factor with BRCT domains 1
P06127,CD5,CD5_HUMAN,LEU1,T-cell surface glycoprotein CD5; Lymphocyte antigen T1/Leu-1
P02649,APOE,APOE_HUMAN,,Apolipoprotein E
Q13371,PDCL,PHLP_HUMAN,PHLOP1; PhLP1,Phosducin-like protein
P0DMV8,HSPA1A,HS71A_HUMAN,HSP72; HSX70; HSPA1,Heat shock 70 kDa protein 1A; Heat shock 70 kDa protein 1
Q6ZMG9,CERS6,CERS6_HUMAN,LASS6,Ceramide synthase 6; LAG1 longevity assurance homolog 6
P0DP23,CALM1,CALM1_HUMAN,CALM; CAM; CAM1,Calmodulin-1
