Kinase Accession,Family,Subcellular location
O95835,AGC Ser/Thr protein kinase family,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; spindle;
Q9NRM7,AGC Ser/Thr protein kinase family,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; spindle; Nucleus; spindle pole;
Q9Y2H9,AGC Ser/Thr protein kinase family,Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; cytoskeleton; axon; Cell projection; dendrite;
Q6P0Q8,AGC Ser/Thr protein kinase family,Cytoplasm; cytoskeleton; Cell membrane; Cytoplasmic side; Peripheral membrane protein;
O60307,AGC Ser/Thr protein kinase family,
O15021,AGC Ser/Thr protein kinase family,Cytoplasm;
Q96GX5,AGC Ser/Thr protein kinase family,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Nucleus; Cleavage furrow;
O15530,AGC Ser/Thr protein kinase family,Cytoplasm; Nucleus; Cell membrane; Peripheral membrane protein; Cell junction; focal adhesion; perinuclear region;
Q6A1A2,AGC Ser/Thr protein kinase family,Cytoplasm; Membrane; Peripheral membrane protein;
Q16512,AGC Ser/Thr protein kinase family; PKC subfamily,Cytoplasm; Nucleus; Endosome; Cell membrane; Peripheral membrane protein; Cleavage furrow; Midbody;
Q16513,AGC Ser/Thr protein kinase family; PKC subfamily,Cytoplasm; Nucleus; Membrane; Cell projection; lamellipodium; cytoskeleton; Cleavage furrow; Midbody; Cell junction; perinuclear region;
Q6P5Z2,AGC Ser/Thr protein kinase family; PKC subfamily,Nucleus; Cytoplasm; perinuclear region;
P17612,AGC Ser/Thr protein kinase family; AMP subfamily,Cytoplasm; Cell membrane; Nucleus; Mitochondrion; Lipid-anchor; Membrane; Cell projection; cilium; flagellum; acrosome; Cytoplasmic vesicle; secretory vesicle;
P22694,AGC Ser/Thr protein kinase family; AMP subfamily,Cytoplasm; Cell membrane; Lipid-anchor; Membrane; Nucleus;
P22612,AGC Ser/Thr protein kinase family; AMP subfamily,
P17252,AGC Ser/Thr protein kinase family; PKC subfamily,Cytoplasm; Cell membrane; Peripheral membrane protein; Mitochondrion; Mitochondrion membrane; Nucleus;
P05771,AGC Ser/Thr protein kinase family; PKC subfamily,Cytoplasm; Nucleus; Membrane; Peripheral membrane protein;
Q05655,AGC Ser/Thr protein kinase family; PKC subfamily,Cytoplasm; perinuclear region; Nucleus; Cell membrane; Peripheral membrane protein;
Q02156,AGC Ser/Thr protein kinase family; PKC subfamily,Cytoplasm; cytoskeleton; Cell membrane; perinuclear region; Nucleus;
P05129,AGC Ser/Thr protein kinase family; PKC subfamily,Cytoplasm; perinuclear region; Cell membrane; Peripheral membrane protein; Cell junction; synapse; synaptosome; Cell projection; dendrite;
P24723,AGC Ser/Thr protein kinase family; PKC subfamily,Cytoplasm;
P41743,AGC Ser/Thr protein kinase family; PKC subfamily,Cytoplasm; Membrane; Endosome; Nucleus;
Q04759,AGC Ser/Thr protein kinase family; PKC subfamily,Cytoplasm; Cell membrane; Peripheral membrane protein; synapse; Endoplasmic reticulum; Endoplasmic reticulum membrane;
Q05513,AGC Ser/Thr protein kinase family; PKC subfamily,Cytoplasm; Endosome; Cell junction; Membrane; Peripheral membrane protein;
Q13976,AGC Ser/Thr protein kinase family; GMP subfamily,Cytoplasm;
Q13237,AGC Ser/Thr protein kinase family; GMP subfamily,Apical cell membrane; Lipid-anchor;
P51817,AGC Ser/Thr protein kinase family; AMP subfamily,Cytoplasm; Nucleus;
O43930,AGC Ser/Thr protein kinase family; AMP subfamily,
Q13464,AGC Ser/Thr protein kinase family,Cytoplasm; centriole; centrosome; cytoskeleton; microtubule organizing center; Golgi apparatus; Golgi apparatus membrane; Peripheral membrane protein; bleb; Cell projection; Cell membrane; lamellipodium; ruffle;
O75116,AGC Ser/Thr protein kinase family,Cytoplasm; Cell membrane; Peripheral membrane protein; Nucleus; centrosome; cytoskeleton; microtubule organizing center;
Q15418,AGC Ser/Thr protein kinase family,Nucleus; Cytoplasm;
Q15349,AGC Ser/Thr protein kinase family,Nucleus; Cytoplasm;
P51812,AGC Ser/Thr protein kinase family,Nucleus; Cytoplasm;
O75676,AGC Ser/Thr protein kinase family,Nucleus;
O75582,AGC Ser/Thr protein kinase family,Nucleus; Cytoplasm;
Q9UK32,AGC Ser/Thr protein kinase family,Cytoplasm; cytosol; Nucleus;
P23443,AGC Ser/Thr protein kinase family,Cell junction; synapse; synaptosome; Mitochondrion; Mitochondrion outer membrane; Nucleus; Cytoplasm;
Q9UBS0,AGC Ser/Thr protein kinase family,Cytoplasm; Nucleus;
O00141,AGC Ser/Thr protein kinase family,Cytoplasm; Nucleus; Endoplasmic reticulum; Endoplasmic reticulum membrane; Cell membrane; Mitochondrion;
Q9HBY8,AGC Ser/Thr protein kinase family,Cytoplasm; Nucleus;
Q96BR1,AGC Ser/Thr protein kinase family,Cytoplasm; Cytoplasmic vesicle; Early endosome; Recycling endosome;
Q15208,AGC Ser/Thr protein kinase family,Nucleus; Cytoplasm;
Q9Y2H1,AGC Ser/Thr protein kinase family,Cytoplasm; cytoskeleton; Membrane;
Q8TDC3,CAMK Ser/Thr protein kinase family,Cytoplasm; Nucleus; centrosome; cytoskeleton; microtubule organizing center; Cell junction; synapse; presynaptic active zone; Cytoplasmic vesicle; secretory vesicle; synaptic vesicle;
Q8IWQ3,CAMK Ser/Thr protein kinase family,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; perinuclear region; Endoplasmic reticulum;
Q14012,CAMK Ser/Thr protein kinase family; CaMK subfamily,Cytoplasm; Nucleus;
Q8IU85,CAMK Ser/Thr protein kinase family; CaMK subfamily,Cytoplasm; Nucleus;
Q96NX5,CAMK Ser/Thr protein kinase family; CaMK subfamily,Cytoplasm; Golgi apparatus; Golgi apparatus membrane; Peripheral membrane protein; Cell membrane;
Q9UQM7,CAMK Ser/Thr protein kinase family; CaMK subfamily,Cell junction; synapse; postsynaptic density; Cell projection; dendritic spine; dendrite;
Q13554,CAMK Ser/Thr protein kinase family; CaMK subfamily,Cytoplasm; cytoskeleton; centrosome; microtubule organizing center; Cytoplasmic side; Peripheral membrane protein; Sarcoplasmic reticulum; Sarcoplasmic reticulum membrane; Cell junction; synapse;
Q13557,CAMK Ser/Thr protein kinase family; CaMK subfamily,Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; sarcolemma; Sarcoplasmic reticulum; Sarcoplasmic reticulum membrane;
Q13555,CAMK Ser/Thr protein kinase family; CaMK subfamily,Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Sarcoplasmic reticulum; Sarcoplasmic reticulum membrane;
Q16566,CAMK Ser/Thr protein kinase family; CaMK subfamily,Cytoplasm; Nucleus;
Q8NCB2,CAMK Ser/Thr protein kinase family,Cell membrane; Peripheral membrane protein; Cytoplasm; Cytoplasmic vesicle; Cytoplasmic vesicle membrane; axon; dendrite;
O14936,CAMK Ser/Thr protein kinase family; CaMK subfamily; MAGUK family,Nucleus; Cytoplasm; Cell membrane; Peripheral membrane protein;
O14757,CAMK Ser/Thr protein kinase family,Nucleus; Cytoplasm; centrosome; cytoskeleton; microtubule organizing center;
O96017,CAMK Ser/Thr protein kinase family,Nucleus; PML body; nucleoplasm;
P53355,CAMK Ser/Thr protein kinase family; DAP kinase subfamily,Cytoplasm; cytoskeleton;
Q9UIK4,CAMK Ser/Thr protein kinase family; DAP kinase subfamily,Cytoplasm; autophagosome; Cytoplasmic vesicle; phagosome;
O43293,CAMK Ser/Thr protein kinase family; DAP kinase subfamily,Nucleus; Cytoplasm;
O15075,CAMK Ser/Thr protein kinase family; CaMK subfamily,
Q8N568,CAMK Ser/Thr protein kinase family; CaMK subfamily,Cytoplasm; cytoskeleton;
Q9C098,CAMK Ser/Thr protein kinase family; CaMK subfamily,Cytoplasm; Nucleus;
P57058,CAMK Ser/Thr protein kinase family,
O60229,CAMK Ser/Thr protein kinase family,Cytoplasm; cytoskeleton;
P49137,CAMK Ser/Thr protein kinase family,Cytoplasm; Nucleus;
Q16644,CAMK Ser/Thr protein kinase family,Nucleus; Cytoplasm;
Q8IW41,CAMK Ser/Thr protein kinase family,Cytoplasm; Nucleus;
Q9P0L2,CAMK Ser/Thr protein kinase family,Cell membrane; Peripheral membrane protein; Cytoplasm; cytoskeleton; Cell projection; dendrite;
Q7KZI7,CAMK Ser/Thr protein kinase family,Cell membrane; Peripheral membrane protein; Cytoplasm; Lateral cell membrane; cytoskeleton; Cell projection; dendrite;
P27448,CAMK Ser/Thr protein kinase family,Cell membrane; Peripheral membrane protein; Cell projection; dendrite; Cytoplasm;
Q96L34,CAMK Ser/Thr protein kinase family,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; cilium; cilium basal body; axon; cilium axoneme; Cell projection; dendrite;
Q14680,CAMK Ser/Thr protein kinase family,Cell membrane; Peripheral membrane protein;
Q9BUB5,CAMK Ser/Thr protein kinase family,Cytoplasm; Nucleus;
Q9HBH9,CAMK Ser/Thr protein kinase family,Nucleus; PML body; Cytoplasm;
Q15746,CAMK Ser/Thr protein kinase family,Cytoplasm; Cell projection; lamellipodium; Cleavage furrow; cytoskeleton; stress fiber;
Q9H1R3,CAMK Ser/Thr protein kinase family,Cytoplasm; myofibril;
Q32MK0,CAMK Ser/Thr protein kinase family,Cytoplasm;
Q86YV6,CAMK Ser/Thr protein kinase family,
Q8IY84,CAMK Ser/Thr protein kinase family,
O60285,CAMK Ser/Thr protein kinase family,Nucleus; Cytoplasm;
Q9H093,CAMK Ser/Thr protein kinase family,
Q5VST9,CAMK Ser/Thr protein kinase family,Cytoplasm; M line; myofibril; sarcomere; Z line; Cell membrane; sarcolemma; Nucleus;
Q96RG2,CAMK Ser/Thr protein kinase family,Cytoplasm; Nucleus;
Q16816,CAMK Ser/Thr protein kinase family,
P15735,CAMK Ser/Thr protein kinase family,
P11309,CAMK Ser/Thr protein kinase family; PIM subfamily,Cytoplasm; Nucleus; Cell membrane;
Q9P1W9,CAMK Ser/Thr protein kinase family; PIM subfamily,
Q86V86,CAMK Ser/Thr protein kinase family; PIM subfamily,Cytoplasm;
Q6P2M8,CAMK Ser/Thr protein kinase family; CaMK subfamily,Cytoplasm; Nucleus;
Q13131,CAMK Ser/Thr protein kinase family,Cytoplasm; Nucleus;
P54646,CAMK Ser/Thr protein kinase family,Cytoplasm; Nucleus;
Q15139,CAMK Ser/Thr protein kinase family; PKD subfamily,Cytoplasm; Cell membrane; Golgi apparatus; trans-Golgi network;
Q9BZL6,CAMK Ser/Thr protein kinase family; PKD subfamily,Cytoplasm; Cell membrane; Nucleus; Golgi apparatus; trans-Golgi network;
O94806,CAMK Ser/Thr protein kinase family; PKD subfamily,Cytoplasm; Membrane;
P11801,CAMK Ser/Thr protein kinase family,Golgi apparatus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Nucleus; Nucleus speckle; Endoplasmic reticulum; Endoplasmic reticulum membrane; Lipid-anchor; Cell membrane;
Q96QS6,CAMK Ser/Thr protein kinase family,
P57059,CAMK Ser/Thr protein kinase family; AMPK subfamily,Cytoplasm; Nucleus;
Q9H0K1,CAMK Ser/Thr protein kinase family,Cytoplasm;
Q9Y2K2,CAMK Ser/Thr protein kinase family,Cytoplasm;
Q9NRH2,CAMK Ser/Thr protein kinase family,Nucleus;
Q15772,CAMK Ser/Thr protein kinase family,Nucleus;
Q15831,CAMK Ser/Thr protein kinase family,Nucleus; Cytoplasm; Membrane; Mitochondrion;
Q9UEE5,CAMK Ser/Thr protein kinase family; DAP kinase subfamily,Nucleus;
O94768,CAMK Ser/Thr protein kinase family; DAP kinase subfamily,Nucleus; Cell membrane; Endoplasmic reticulum; Endoplasmic reticulum-Golgi intermediate compartment;
Q9BYT3,CAMK Ser/Thr protein kinase family; CaMK subfamily,Cytoplasm; perinuclear region;
Q8N2I9,CAMK Ser/Thr protein kinase family,Nucleus; Cytoplasm;
Q96RU8,CAMK Ser/Thr protein kinase family; Tribbles subfamily,
Q92519,CAMK Ser/Thr protein kinase family; Tribbles subfamily,Cytoplasm; cytoskeleton;
Q96RU7,CAMK Ser/Thr protein kinase family; Tribbles subfamily,Nucleus;
O75962,CAMK Ser/Thr protein kinase family,Cytoplasm; Cell projection;
Q9BXA7,CAMK Ser/Thr protein kinase family,Cytoplasm; acrosome; Cytoplasmic vesicle; secretory vesicle; Cell projection; cilium; flagellum;
Q96PF2,CAMK Ser/Thr protein kinase family,Cytoplasm; centriole; centrosome; cytoskeleton; microtubule organizing center;
Q96PN8,CAMK Ser/Thr protein kinase family,
Q6SA08,CAMK Ser/Thr protein kinase family,acrosome; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; Cell projection; cilium; flagellum;
Q9BXA6,CAMK Ser/Thr protein kinase family,
Q8WZ42,CAMK Ser/Thr protein kinase family,Cytoplasm; Nucleus;
P48729,Ser/Thr protein kinase family; Casein kinase I subfamily,Cytoplasm; centrosome; cytoskeleton; microtubule organizing center; centromere; Chromosome; kinetochore; Nucleus; Nucleus speckle; cilium; cilium basal body;
Q8N752,Ser/Thr protein kinase family; Casein kinase I subfamily,Cytoplasm;
P48730,Ser/Thr protein kinase family; Casein kinase I subfamily,Cytoplasm; Nucleus; centrosome; cytoskeleton; microtubule organizing center; perinuclear region; Cell membrane; spindle; Golgi apparatus;
P49674,Ser/Thr protein kinase family; Casein kinase I subfamily,Cytoplasm; Nucleus;
Q9HCP0,Ser/Thr protein kinase family; Casein kinase I subfamily,Cytoplasm;
P78368,Ser/Thr protein kinase family; Casein kinase I subfamily,Cytoplasm;
Q9Y6M4,Ser/Thr protein kinase family; Casein kinase I subfamily,Cytoplasm;
Q5TCY1,Ser/Thr protein kinase family,Cytoplasm;
Q6IQ55,Ser/Thr protein kinase family,Cell projection; cilium; cilium basal body; Cytoplasm; cytoskeleton; centriole; centrosome; microtubule organizing center; cytosol; Nucleus;
Q99986,Ser/Thr protein kinase family; VRK subfamily,Cytoplasm; Nucleus; cytoskeleton; spindle;
Q86Y07,Ser/Thr protein kinase family; VRK subfamily,Cytoplasm; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type IV membrane protein; Mitochondrion; Mitochondrion membrane; Nucleus;
Q8IV63,Ser/Thr protein kinase family; VRK subfamily,Nucleus;
P06493,CMGC Ser/Thr protein kinase family; CDKX subfamily; AP family,Nucleus; Cytoplasm; Mitochondrion; centrosome; cytoskeleton; microtubule organizing center; spindle;
Q15131,CMGC Ser/Thr protein kinase family; CDKX subfamily,cilium; cilium basal body; Cytoplasm; cytoskeleton;
Q9UQ88,CMGC Ser/Thr protein kinase family; CDKX subfamily,Cytoplasm; Nucleus;
P21127,CMGC Ser/Thr protein kinase family; CDKX subfamily,Cytoplasm; Nucleus;
Q9NYV4,CMGC Ser/Thr protein kinase family; CDKX subfamily,Nucleus; Nucleus speckle;
Q14004,CMGC Ser/Thr protein kinase family; CDKX subfamily,Nucleus; Nucleus speckle;
O94921,CMGC Ser/Thr protein kinase family; CDKX subfamily,Cell membrane; Peripheral membrane protein; Cytoplasm; Nucleus;
Q96Q40,CMGC Ser/Thr protein kinase family; CDKX subfamily,
Q00536,CMGC Ser/Thr protein kinase family; CDKX subfamily,Cytoplasm; Cytoplasmic vesicle; secretory vesicle; Cell membrane; Cytoplasmic side; Peripheral membrane protein; Cell junction; synapse; synaptosome;
Q00537,CMGC Ser/Thr protein kinase family; CDKX subfamily,
Q07002,CMGC Ser/Thr protein kinase family; CDKX subfamily,
Q9BWU1,CMGC Ser/Thr protein kinase family; CDKX subfamily,
P24941,CMGC Ser/Thr protein kinase family; CDKX subfamily,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cajal body; Nucleus; Endosome;
Q8IZL9,CMGC Ser/Thr protein kinase family; CDKX subfamily,Nucleus; Cytoplasm; Cell projection; cilium;
Q00526,CMGC Ser/Thr protein kinase family; CDKX subfamily,
P11802,CMGC Ser/Thr protein kinase family; CDKX subfamily,Cytoplasm; Nucleus; Nucleus membrane;
Q00535,CMGC Ser/Thr protein kinase family; CDKX subfamily,Cytoplasm; Cell membrane; Peripheral membrane protein; Perikaryon; Cell projection; lamellipodium; growth cone; Cell junction; postsynaptic density; synapse; axon; Nucleus; Mitochondrion; Mitochondrion inner membrane;
Q00534,CMGC Ser/Thr protein kinase family; CDKX subfamily,Cytoplasm; Nucleus; Cell projection; ruffle; centrosome; cytoskeleton; microtubule organizing center; cytosol; Mitochondrion; Mitochondrion membrane; Single-pass membrane protein;
P50613,CMGC Ser/Thr protein kinase family; CDKX subfamily,Nucleus; Cytoplasm; perinuclear region;
P49336,CMGC Ser/Thr protein kinase family; CDKX subfamily,Nucleus;
P50750,CMGC Ser/Thr protein kinase family; CDKX subfamily,Nucleus; Cytoplasm; PML body;
Q00532,CMGC Ser/Thr protein kinase family; CDKX subfamily,Cytoplasm; Nucleus;
Q92772,CMGC Ser/Thr protein kinase family; CDKX subfamily,Cytoplasm; Nucleus;
Q8IVW4,CMGC Ser/Thr protein kinase family; CDKX subfamily,Cytoplasm;
Q5MAI5,CMGC Ser/Thr protein kinase family; CDKX subfamily,Cytoplasm;
O76039,CMGC Ser/Thr protein kinase family; CDKX subfamily,Nucleus; cilium; cilium basal body; Cytoplasm; cytoskeleton; centrosome; microtubule organizing center;
P49759,CMGC Ser/Thr protein kinase family; Lammer subfamily,Nucleus;
P49760,CMGC Ser/Thr protein kinase family; Lammer subfamily,Nucleus; Nucleus speckle;
P49761,CMGC Ser/Thr protein kinase family; Lammer subfamily,Nucleus; Cytoplasm; acrosome; Cytoplasmic vesicle; secretory vesicle; Nucleus speckle;
Q9HAZ1,CMGC Ser/Thr protein kinase family; Lammer subfamily,Nucleus;
Q13627,CMGC Ser/Thr protein kinase family; MNB/DYRK subfamily,Nucleus; Nucleus speckle;
Q9Y463,CMGC Ser/Thr protein kinase family; MNB/DYRK subfamily,Nucleus;
Q92630,CMGC Ser/Thr protein kinase family; MNB/DYRK subfamily,Cytoplasm; Nucleus;
O43781,CMGC Ser/Thr protein kinase family; MNB/DYRK subfamily,Nucleus; Cytoplasm; Nucleus speckle; Cytoplasmic granule; centrosome; cytoskeleton; microtubule organizing center;
Q9NR20,CMGC Ser/Thr protein kinase family; MNB/DYRK subfamily,Cytoplasm; Nucleus;
P49840,CMGC Ser/Thr protein kinase family,
P49841,CMGC Ser/Thr protein kinase family,Cytoplasm; Nucleus; Cell membrane;
Q86Z02,CMGC Ser/Thr protein kinase family; HIPK subfamily,Nucleus; Cytoplasm; Nucleus speckle;
Q9H2X6,CMGC Ser/Thr protein kinase family; HIPK subfamily,Nucleus; PML body; Cytoplasm;
Q9H422,CMGC Ser/Thr protein kinase family; HIPK subfamily,Cytoplasm; Nucleus;
Q8NE63,CMGC Ser/Thr protein kinase family; HIPK subfamily,Cytoplasm;
Q9UPZ9,CMGC Ser/Thr protein kinase family; CDKX subfamily,Nucleus; Cytoplasm; cytosol; Cell projection; cilium; cilium basal body; cytoskeleton;
P20794,CMGC Ser/Thr protein kinase family; CDKX subfamily,Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; spindle; Midbody; Cell projection; cilium; photoreceptor outer segment; Photoreceptor inner segment; axon;
P28482,CMGC Ser/Thr protein kinase family; MAP kinase subfamily,Cytoplasm; cytoskeleton; spindle; Nucleus; centrosome; microtubule organizing center; caveola; Membrane;
P53779,CMGC Ser/Thr protein kinase family; MAP kinase subfamily,Cytoplasm; Lipid-anchor; Membrane; Nucleus; Mitochondrion; cytoskeleton;
Q15759,CMGC Ser/Thr protein kinase family; MAP kinase subfamily,Cytoplasm; Nucleus;
P53778,CMGC Ser/Thr protein kinase family; MAP kinase subfamily,Cytoplasm; Nucleus; Mitochondrion; sarcolemma;
O15264,CMGC Ser/Thr protein kinase family; MAP kinase subfamily,
Q16539,CMGC Ser/Thr protein kinase family; MAP kinase subfamily,Cytoplasm; Nucleus;
Q8TD08,CMGC Ser/Thr protein kinase family; MAP kinase subfamily,cilium; cilium basal body; Cytoplasm; cytoskeleton; Cell junction; tight junction; centriole; centrosome; microtubule organizing center; autophagosome; Cytoplasmic vesicle; phagosome; Golgi apparatus; Nucleus; spindle;
P27361,CMGC Ser/Thr protein kinase family; MAP kinase subfamily,Cytoplasm; Nucleus; caveola; Membrane;
P31152,CMGC Ser/Thr protein kinase family; MAP kinase subfamily,Cytoplasm; Nucleus;
Q16659,CMGC Ser/Thr protein kinase family; MAP kinase subfamily,Cytoplasm; Nucleus;
Q13164,CMGC Ser/Thr protein kinase family; MAP kinase subfamily,Cytoplasm; Nucleus; PML body;
P45983,CMGC Ser/Thr protein kinase family; MAP kinase subfamily,Cytoplasm; Nucleus;
P45984,CMGC Ser/Thr protein kinase family; MAP kinase subfamily,Cytoplasm; Nucleus;
Q9UQ07,CMGC Ser/Thr protein kinase family; CDKX subfamily,Cytoplasm; Cell projection; cilium; Nucleus;
Q9UBE8,CMGC Ser/Thr protein kinase family; MAP kinase subfamily,Nucleus; Cytoplasm;
Q13523,CMGC Ser/Thr protein kinase family,Nucleus;
Q96SB4,CMGC Ser/Thr protein kinase family,Cytoplasm; Nucleus; Nucleus matrix; Microsome;
P78362,CMGC Ser/Thr protein kinase family,Cytoplasm; Nucleus;
Q9UPE1,CMGC Ser/Thr protein kinase family,
Q96PY6,NEK Ser/Thr protein kinase family; NIMA subfamily,Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center;
Q6ZWH5,NEK Ser/Thr protein kinase family; NIMA subfamily,
Q8NG66,NEK Ser/Thr protein kinase family; NIMA subfamily,Nucleus; nucleolus;
P51955,NEK Ser/Thr protein kinase family; NIMA subfamily,Nucleus; nucleolus; Cytoplasm; centrosome; cytoskeleton; microtubule organizing center; spindle; centromere; Chromosome; kinetochore;
P51956,NEK Ser/Thr protein kinase family; NIMA subfamily,Cytoplasm; axon; Cell projection;
P51957,NEK Ser/Thr protein kinase family; NIMA subfamily,Cell projection; cilium; Cytoplasm;
Q6P3R8,NEK Ser/Thr protein kinase family; NIMA subfamily,
Q9HC98,NEK Ser/Thr protein kinase family; NIMA subfamily,Cytoplasm; Nucleus; Nucleus speckle; centrosome; cytoskeleton; microtubule organizing center; spindle;
Q8TDX7,NEK Ser/Thr protein kinase family; NIMA subfamily,Nucleus; Cytoplasm; cytoskeleton; spindle; centrosome; microtubule organizing center;
Q86SG6,NEK Ser/Thr protein kinase family; NIMA subfamily,Cytoplasm; cytoskeleton; Cell projection; cilium; centrosome; microtubule organizing center;
Q8TD19,NEK Ser/Thr protein kinase family; NIMA subfamily,Cytoplasm; Nucleus;
P25092,,Cell membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane;
Q02846,,Photoreceptor outer segment membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane;
P51841,,Photoreceptor outer segment membrane; Single-pass type I membrane protein;
P16066,,Membrane; Single-pass type I membrane protein;
P20594,,Cell membrane; Single-pass type I membrane protein;
Q02750,STE Ser/Thr protein kinase family; MAP kinase kinase subfamily,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; spindle; spindle pole body; Nucleus; Membrane; Peripheral membrane protein;
P36507,STE Ser/Thr protein kinase family; MAP kinase kinase subfamily,Cytoplasm; Membrane; Peripheral membrane protein;
P46734,STE Ser/Thr protein kinase family; MAP kinase kinase subfamily,
P45985,STE Ser/Thr protein kinase family; MAP kinase kinase subfamily,Cytoplasm; Nucleus;
Q13163,STE Ser/Thr protein kinase family; MAP kinase kinase subfamily,
P52564,STE Ser/Thr protein kinase family; MAP kinase kinase subfamily,Nucleus; Cytoplasm; cytoskeleton;
O14733,STE Ser/Thr protein kinase family; MAP kinase kinase subfamily,Nucleus; Cytoplasm;
Q13233,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,
Q02779,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,
Q16584,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center;
Q12852,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,Cytoplasm; Cell membrane;
O43283,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,Cytoplasm; Membrane; Peripheral membrane protein;
Q99558,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,Cytoplasm;
Q6ZN16,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,
Q56UN5,STE Ser/Thr protein kinase family,
Q9Y2U5,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,Cytoplasm; Nucleus;
Q9NYL2,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,Cytoplasm; Nucleus;
Q5TCX8,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,
Q99759,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,
Q9Y6R4,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,Cytoplasm; perinuclear region;
Q99683,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,Cytoplasm; Endoplasmic reticulum;
O95382,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,
O43318,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,Cytoplasm; Cell membrane; Cytoplasmic side; Peripheral membrane protein; cytosol;
P41279,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,Cytoplasm;
P80192,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,
Q92918,STE Ser/Thr protein kinase family,
Q12851,STE Ser/Thr protein kinase family,Cytoplasm; Basolateral cell membrane; Peripheral membrane protein; Golgi apparatus; Golgi apparatus membrane;
Q8IVH8,STE Ser/Thr protein kinase family,
O95819,STE Ser/Thr protein kinase family,Cytoplasm;
Q9Y4K4,STE Ser/Thr protein kinase family,Cytoplasm;
