Kinase Accession,Subcellular Location
q6a1a2,Cytoplasm; Membrane; Peripheral membrane protein;
q16512,Cytoplasm; Nucleus; Endosome; Cell membrane; Peripheral membrane protein; Cleavage furrow; Midbody;
q16513,Cytoplasm; Nucleus; Membrane; Cell projection; lamellipodium; Cytoplasm; cytoskeleton; Cleavage furrow; Midbody; Cell junction; perinuclear region;
q6p5z2,Nucleus; Cytoplasm; perinuclear region;
p17612,Cytoplasm; Cell membrane; Nucleus; Mitochondrion; Lipid-anchor; Membrane; Cell projection; cilium; flagellum; acrosome; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; flagellum; acrosome;
p22694,Cytoplasm; Cell membrane; Lipid-anchor; Membrane; Nucleus;
p22612,
p17252,Cytoplasm; Cell membrane; Peripheral membrane protein; Mitochondrion; Mitochondrion membrane; Peripheral membrane protein; Nucleus;
p05771,Cytoplasm; Nucleus; Membrane; Peripheral membrane protein;
q05655,Cytoplasm; Cytoplasm; perinuclear region; Nucleus; Cell membrane; Peripheral membrane protein;
q02156,Cytoplasm; Cytoplasm; cytoskeleton; Cell membrane; Cytoplasm; perinuclear region; Nucleus;
p05129,Cytoplasm; Cytoplasm; perinuclear region; Cell membrane; Peripheral membrane protein; Cell junction; synapse; synaptosome; Cell projection; dendrite;
p24723,Cytoplasm;
p41743,Cytoplasm; Membrane; Endosome; Nucleus;
q04759,Cytoplasm; Cell membrane; Peripheral membrane protein; synapse; Endoplasmic reticulum; Endoplasmic reticulum membrane;
q05513,Cytoplasm; Endosome; Cell junction; Membrane; Peripheral membrane protein; Cytoplasm;
q13976,Cytoplasm;
q13237,Apical cell membrane; Lipid-anchor;
p51817,Cytoplasm; Nucleus;
o43930,
q13464,Cytoplasm; centriole; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Golgi apparatus; Golgi apparatus membrane; Peripheral membrane protein; bleb; Cell projection; Cytoplasm; cytoskeleton; Cell membrane; Cell projection; lamellipodium; Cell projection; ruffle; centriole; ruffle;
o75116,Cytoplasm; Cell membrane; Peripheral membrane protein; Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm;
q15418,Nucleus; Cytoplasm;
q15349,Nucleus; Cytoplasm;
p51812,Nucleus; Cytoplasm;
o75676,Nucleus;
o75582,Nucleus; Cytoplasm;
q9uk32,Cytoplasm; cytosol; Nucleus; cytosol;
p23443,Cell junction; synapse; synaptosome; Mitochondrion; Mitochondrion outer membrane; Mitochondrion; Nucleus; Cytoplasm; Cytoplasm;
q9ubs0,Cytoplasm; Nucleus;
o00141,Cytoplasm; Nucleus; Endoplasmic reticulum; Endoplasmic reticulum membrane; Cell membrane; Mitochondrion; Cell membrane;
q9hby8,Cytoplasm; Nucleus;
q96br1,Cytoplasm; Cytoplasmic vesicle; Early endosome; Recycling endosome;
q15208,Nucleus; Cytoplasm;
q9y2h1,Cytoplasm; Cytoplasm; cytoskeleton; Membrane; cytoskeleton;
q8tdc3,Cytoplasm; Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cell junction; synapse; Cell junction; presynaptic active zone; synapse; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; synaptic vesicle;
q8iwq3,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; perinuclear region; Endoplasmic reticulum; centrosome;
q14012,Cytoplasm; Nucleus;
q8iu85,Cytoplasm; Nucleus;
q96nx5,Cytoplasm; Golgi apparatus; Golgi apparatus membrane; Peripheral membrane protein; Cell membrane; Peripheral membrane protein;
q9uqm7,Cell junction; synapse; Cell junction; postsynaptic density; synapse; Cell projection; dendritic spine; Cell projection; dendrite;
q13554,Cytoplasm; cytoskeleton; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Sarcoplasmic reticulum; Sarcoplasmic reticulum membrane; Cell junction; synapse;
q13557,Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; sarcolemma; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Sarcoplasmic reticulum; Sarcoplasmic reticulum membrane;
q13555,Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Sarcoplasmic reticulum; Sarcoplasmic reticulum membrane;
q16566,Cytoplasm; Nucleus;
q8ncb2,Cell membrane; Peripheral membrane protein; Cytoplasm; Cytoplasmic vesicle; Cytoplasmic vesicle membrane; Peripheral membrane protein; axon; dendrite;
o14936,Nucleus; Cytoplasm; Cell membrane; Peripheral membrane protein;
o14757,Nucleus; Cytoplasm; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; centrosome;
o96017,Nucleus; Nucleus; Nucleus; Nucleus; Nucleus; Nucleus; PML body; nucleoplasm; Nucleus;
p53355,Cytoplasm; Cytoplasm; cytoskeleton; Cytoplasm; Cytoplasm; cytoskeleton;
q9uik4,Cytoplasm; autophagosome; autophagosome lumen; Cytoplasm; Cytoplasmic vesicle; phagosome; phagosome lumen;
o43293,Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm;
o15075,
q8n568,Cytoplasm; cytoskeleton;
q9c098,Cytoplasm; Nucleus;
p57058,
o60229,Cytoplasm; Cytoplasm; cytoskeleton; cytoskeleton;
p49137,Cytoplasm; Nucleus;
q16644,Nucleus; Cytoplasm;
q8iw41,Cytoplasm; Nucleus;
q9p0l2,Cell membrane; Peripheral membrane protein; Cytoplasm; cytoskeleton; Cytoplasm; Cell projection; dendrite;
q7kzi7,Cell membrane; Peripheral membrane protein; Cytoplasm; Lateral cell membrane; Cytoplasm; cytoskeleton; Cell projection; dendrite; Cytoplasm;
p27448,Cell membrane; Peripheral membrane protein; Cell projection; dendrite; Cytoplasm;
q96l34,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; microtubule organizing center; cilium; cilium basal body; Cytoplasm; cytoskeleton; axon; cilium; cilium axoneme; Cytoplasm; cytoskeleton; Cytoplasm; Cell projection; dendrite;
q14680,Cell membrane; Peripheral membrane protein;
q9bub5,Cytoplasm; Cytoplasm; Nucleus;
q9hbh9,Nucleus; PML body; Cytoplasm;
q15746,Cytoplasm; Cell projection; lamellipodium; Cleavage furrow; Cytoplasm; cytoskeleton; stress fiber; stress fiber;
q9h1r3,Cytoplasm; myofibril;
q32mk0,Cytoplasm;
q86yv6,
q8iy84,
o60285,Nucleus; Cytoplasm;
q9h093,
q5vst9,Cytoplasm; M line; myofibril; sarcomere; Cytoplasm; myofibril; sarcomere; Z line; Cytoplasm; M line; myofibril; sarcomere; Cytoplasm; myofibril; sarcomere; Z line; Cell membrane; sarcolemma; Nucleus; sarcolemma; M line; Z line;
q96rg2,Cytoplasm; Nucleus;
q16816,
p15735,
p11309,Cytoplasm; Nucleus; Cell membrane;
q9p1w9,
q86v86,Cytoplasm;
q6p2m8,Cytoplasm; Nucleus;
q13131,Cytoplasm; Nucleus;
p54646,Cytoplasm; Nucleus;
q15139,Cytoplasm; Cell membrane; Golgi apparatus; trans-Golgi network;
q9bzl6,Cytoplasm; Cell membrane; Nucleus; Golgi apparatus; trans-Golgi network;
o94806,Cytoplasm; Membrane;
p11801,Golgi apparatus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Nucleus; Nucleus speckle; Endoplasmic reticulum; Endoplasmic reticulum membrane; Lipid-anchor; Cell membrane; Lipid-anchor; Cytoplasm; centrosome;
q96qs6,
p57059,Cytoplasm; Nucleus;
q9h0k1,Cytoplasm;
q9y2k2,Cytoplasm;
q9nrh2,Nucleus;
q15772,Nucleus;
q15831,Nucleus; Cytoplasm; Membrane; Mitochondrion; Nucleus; Cytoplasm;
q9uee5,Nucleus;
o94768,Nucleus; Cell membrane; Endoplasmic reticulum; Endoplasmic reticulum-Golgi intermediate compartment;
q9byt3,Cytoplasm; perinuclear region;
q8n2i9,Nucleus; Cytoplasm;
q96ru8,
q92519,Cytoplasm; Cytoplasm; cytoskeleton; cytoskeleton;
q96ru7,Nucleus;
o75962,Cytoplasm; Cell projection;
q9bxa7,Cytoplasm; acrosome; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; Cell projection; cilium; flagellum; flagellum;
q96pf2,Cytoplasm; centriole; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; centriole;
q96pn8,
q6sa08,acrosome; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; Cell projection; cilium; flagellum; flagellum;
q9bxa6,
q8wz42,Cytoplasm; Nucleus;
p48729,Cytoplasm; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; centromere; Chromosome; kinetochore; Nucleus; Nucleus speckle; cilium; cilium basal body; Cytoplasm; cytoskeleton; centrosome; kinetochore; cytoskeleton;
q8n752,Cytoplasm;
p48730,Cytoplasm; Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; perinuclear region; Cell membrane; Cytoplasm; cytoskeleton; spindle; Golgi apparatus; centrosome; spindle; centrosome; spindle;
p49674,Cytoplasm; Nucleus;
q9hcp0,Cytoplasm;
p78368,Cytoplasm;
q9y6m4,Cytoplasm;
q5tcy1,Cytoplasm;
q6iq55,Cell projection; cilium; cilium; cilium basal body; Cytoplasm; cytoskeleton; centriole; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytosol; Nucleus; cytosol;
q99986,Cytoplasm; Nucleus; Cytoplasm; cytoskeleton; spindle; spindle;
q86y07,Cytoplasm; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type IV membrane protein; Mitochondrion; Mitochondrion membrane; Single-pass type IV membrane protein; Nucleus; Nucleus envelope; Cytoplasm; Nucleus;
q8iv63,Nucleus;
p06493,Nucleus; Cytoplasm; Mitochondrion; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; spindle; Cytoplasm; centrosome;
q15131,cilium; cilium basal body; Cytoplasm; cytoskeleton;
q9uq88,Cytoplasm; Nucleus;
p21127,Cytoplasm; Nucleus;
q9nyv4,Nucleus; Nucleus; Nucleus speckle;
q14004,Nucleus; Nucleus speckle;
o94921,Cell membrane; Peripheral membrane protein; Cytoplasm; Nucleus;
q96q40,
q00536,Cytoplasm; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell junction; synapse; synaptosome;
q00537,
q07002,
q9bwu1,
p24941,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cajal body; Nucleus; Cytoplasm; Endosome; centrosome;
q8izl9,Nucleus; Cytoplasm; Cell projection; cilium;
q00526,
p11802,Cytoplasm; Nucleus; Nucleus; Nucleus membrane; Cytoplasm;
q00535,Cytoplasm; Cell membrane; Peripheral membrane protein; Perikaryon; Cell projection; lamellipodium; Cell projection; growth cone; Cell junction; postsynaptic density; synapse; axon; growth cone; Nucleus; Mitochondrion; Mitochondrion inner membrane;
q00534,Cytoplasm; Nucleus; Cell projection; ruffle; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; cytosol; centrosome; cytosol; Mitochondrion; Mitochondrion membrane; Single-pass membrane protein;
p50613,Nucleus; Cytoplasm; Cytoplasm; perinuclear region; perinuclear region;
p49336,Nucleus;
p50750,Nucleus; Cytoplasm; Nucleus; PML body; PML body;
q00532,Cytoplasm; Nucleus;
q92772,Cytoplasm; Nucleus;
q8ivw4,Cytoplasm;
q5mai5,Cytoplasm;
o76039,Nucleus; cilium; cilium basal body; Cytoplasm; cytoskeleton; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center;
p49759,Nucleus;
p49760,Nucleus; Nucleus; Nucleus; Nucleus speckle; Nucleus; Nucleus speckle;
p49761,Nucleus; Cytoplasm; acrosome; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; Nucleus; Nucleus speckle;
q9haz1,Nucleus;
q13627,Nucleus; Nucleus; Nucleus speckle;
q9y463,Nucleus;
q92630,Cytoplasm; Nucleus;
o43781,Nucleus; Cytoplasm; Nucleus; Nucleus speckle; Cytoplasm; Cytoplasmic granule; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center;
q9nr20,Cytoplasm; Cytoplasm; Nucleus;
p49840,
p49841,Cytoplasm; Nucleus; Cell membrane;
q86z02,Nucleus; Cytoplasm; Nucleus; Nucleus speckle;
q9h2x6,Nucleus; PML body; Cytoplasm;
q9h422,Cytoplasm; Nucleus;
q8ne63,Cytoplasm;
q9upz9,Nucleus; Cytoplasm; cytosol; Cell projection; cilium; cilium; cilium basal body; Cytoplasm; cytoskeleton; Cytoplasm;
p20794,Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; spindle; Midbody; Cell projection; cilium; photoreceptor outer segment; Photoreceptor inner segment; axon; centrosome; spindle;
p28482,Cytoplasm; cytoskeleton; spindle; Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; caveola; Membrane; spindle;
p53779,Cytoplasm; Lipid-anchor; Membrane; Nucleus; Mitochondrion; cytoskeleton;
q15759,Cytoplasm; Nucleus;
p53778,Cytoplasm; Nucleus; Mitochondrion; sarcolemma;
o15264,
q16539,Cytoplasm; Nucleus;
q8td08,cilium; cilium basal body; Cytoplasm; cytoskeleton; Cell junction; tight junction; centriole; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; autophagosome; Cytoplasm; Cytoplasmic vesicle; phagosome; Golgi apparatus; Nucleus; Cytoplasm; Cytoplasm; cytoskeleton; spindle; spindle;
p27361,Cytoplasm; Nucleus; caveola; Membrane;
p31152,Cytoplasm; Nucleus;
q16659,Cytoplasm; Nucleus;
q13164,Cytoplasm; Nucleus; Nucleus; PML body;
p45983,Cytoplasm; Nucleus;
p45984,Cytoplasm; Nucleus;
q9uq07,Cytoplasm; Cell projection; cilium; Nucleus;
q9ube8,Nucleus; Cytoplasm;
q13523,Nucleus;
q96sb4,Cytoplasm; Nucleus; Nucleus; Nucleus matrix; Microsome; Cytoplasm; Nucleus; Nucleus matrix; Microsome;
p78362,Cytoplasm; Nucleus;
q9upe1,
q96py6,Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; centrosome;
q6zwh5,
q8ng66,Nucleus; nucleolus; Nucleus; nucleolus;
p51955,Nucleus; nucleolus; Nucleus; Cytoplasm; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; spindle; spindle pole; centromere; Chromosome; kinetochore; centromere; Chromosome; centrosome; kinetochore; kinetochore; Cytoplasm; Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center;
p51956,Cytoplasm; axon; Cell projection;
p51957,Cell projection; cilium; Cytoplasm;
q6p3r8,
q9hc98,Cytoplasm; Nucleus; Nucleus; Nucleus speckle; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; spindle; spindle pole; centrosome; spindle;
q8tdx7,Nucleus; Cytoplasm; Cytoplasm; cytoskeleton; spindle; spindle pole; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; centrosome; spindle;
q86sg6,Cytoplasm; Cytoplasm; cytoskeleton; Cell projection; cilium; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; cilium;
q8td19,Cytoplasm; Nucleus;
p25092,Cell membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein;
q02846,Photoreceptor outer segment membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein;
p51841,Photoreceptor outer segment membrane; Single-pass type I membrane protein;
p16066,Membrane; Single-pass type I membrane protein;
p20594,Cell membrane; Single-pass type I membrane protein;
q02750,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; microtubule organizing center; spindle; spindle pole; spindle pole body; Cytoplasm; Nucleus; Membrane; Peripheral membrane protein; centrosome; Membrane;
p36507,Cytoplasm; Membrane; Peripheral membrane protein; Membrane;
p46734,
p45985,Cytoplasm; Nucleus;
q13163,
p52564,Nucleus; Cytoplasm; Cytoplasm; cytoskeleton;
o14733,Nucleus; Cytoplasm;
q13233,
q02779,
q16584,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center;
q12852,Cytoplasm; Cell membrane;
o43283,Cytoplasm; Membrane; Peripheral membrane protein;
q99558,Cytoplasm;
q6zn16,
q56un5,
q9y2u5,Cytoplasm; Nucleus;
q9nyl2,Cytoplasm; Nucleus;
q5tcx8,
q99759,
q9y6r4,Cytoplasm; perinuclear region;
q99683,Cytoplasm; Endoplasmic reticulum;
o95382,
o43318,Cytoplasm; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; cytosol;
p41279,Cytoplasm;
p80192,
q92918,
q12851,Cytoplasm; Basolateral cell membrane; Peripheral membrane protein; Golgi apparatus; Golgi apparatus membrane; Peripheral membrane protein;
q8ivh8,
o95819,Cytoplasm;
q9y4k4,Cytoplasm;
q8n4c8,Cytoplasm; Cell junction; postsynaptic density; synapse; axon; Cell projection; Cell projection; dendrite; Golgi apparatus;
q8nev4,Cytoplasm; cytoskeleton; Cytoplasm; Cell projection; filopodium; filopodium tip; Cell projection; cilium; stereocilium;
q8wxr4,Cytoplasm; cytoskeleton; Cell projection; cilium; stereocilium;
q7z2y5,
o95747,Cytoplasm;
q13153,Cytoplasm; Cell junction; focal adhesion; Cell membrane; Cell projection; ruffle; ruffle membrane; Cell projection; invadopodium; nucleoplasm; Nucleus; Chromosome; focal adhesion; ruffle; nucleoplasm;
q13177,Cytoplasm; Nucleus; Cytoplasm; perinuclear region; Lipid-anchor; Membrane; perinuclear region;
o75914,Cytoplasm;
o96013,Cytoplasm;
q9p286,Mitochondrion; Cytoplasm; Nucleus;
q9nqu5,Cytoplasm; Nucleus;
q96kb5,
q9h2g2,Cytoplasm;
o94804,Cell membrane; Peripheral membrane protein;
q9y6e0,Cytoplasm; Nucleus; Membrane;
o00506,Cytoplasm; Golgi apparatus; Golgi apparatus;
q9p289,Cytoplasm; Golgi apparatus;
q13188,Cytoplasm; Nucleus;
q9uew8,Cytoplasm; Nucleus; Nucleus;
q13043,Cytoplasm; Nucleus;
q7rtn6,Nucleus; Cytoplasm;
q9c0k7,Nucleus; Cytoplasm;
q7l7x3,Cytoplasm;
q9ul54,Cytoplasm; Cytoplasmic vesicle; Cytoplasmic vesicle membrane; Multi-pass membrane protein; Cytoplasm; cytoskeleton; Nucleus; Cell projection; dendrite; dendrite;
q9h2k8,Cytoplasm; Cell membrane; Peripheral membrane protein;
q9uke5,Nucleus; Cytoplasm; Recycling endosome; Cytoplasm; cytoskeleton;
q04771,Membrane; Single-pass type I membrane protein;
p36896,Cell membrane; Single-pass type I membrane protein;
q8ner5,Membrane; Single-pass type I membrane protein;
p27037,Membrane; Single-pass type I membrane protein;
q13705,Cell membrane; Single-pass type I membrane protein;
p37023,Cell membrane; Single-pass type I membrane protein;
q16671,Membrane; Single-pass type I membrane protein;
q8nfd2,
p10398,Cell membrane; Multi-pass membrane protein;
p36894,Cell membrane; Single-pass type I membrane protein; Cell surface;
o00238,Cell membrane; Membrane; Single-pass type I membrane protein;
q13873,Cell membrane; Single-pass type I membrane protein;
p15056,Nucleus; Cytoplasm; Cell membrane;
q13418,Cell junction; focal adhesion; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell projection; lamellipodium; Cytoplasm; myofibril; sarcomere;
p51617,Cytoplasm; Nucleus; Lipid droplet;
o43187,
q9y616,
q9nwz3,Cytoplasm;
q8ivt5,Cytoplasm; Membrane; Peripheral membrane protein; Cell membrane; Peripheral membrane protein; Cell projection; ruffle; ruffle membrane; Endoplasmic reticulum; Endoplasmic reticulum membrane;
q6vab6,Cytoplasm; Membrane; Peripheral membrane protein;
p53667,Cytoplasm; Nucleus; Cytoplasm; cytoskeleton; Cell projection; lamellipodium; lamellipodium;
p53671,Cytoplasm; Nucleus; Cytoplasm; cytoskeleton; spindle; Cytoplasm; Nucleus; Cytoplasm; Nucleus;
q38sd2,Cytoplasm;
q5s007,Cytoplasm; Cytoplasmic vesicle; Perikaryon; Golgi apparatus; Golgi apparatus membrane; Peripheral membrane protein; axon; Cell projection; Cell projection; dendrite; Endoplasmic reticulum; Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; synaptic vesicle; synaptic vesicle membrane; Endosome; Lysosome; Mitochondrion; Mitochondrion outer membrane; Peripheral membrane protein; Golgi apparatus;
p04049,Cytoplasm; Cell membrane; Mitochondrion; Nucleus;
q13546,Cytoplasm; Cell membrane;
o43353,Cytoplasm;
q9y572,Cytoplasm; cytosol; Cell membrane; Mitochondrion;
p57078,Cytoplasm; Membrane; Peripheral membrane protein;
q15569,
q96s53,Nucleus;
p36897,Cell membrane; Single-pass type I membrane protein; Cell junction; tight junction; Cell surface; Membrane; Membrane raft;
p37173,Cell membrane; Single-pass type I membrane protein; Membrane; Membrane raft;
q59h18,Nucleus; Cytoplasm;
q6zmq8,Membrane; Single-pass type I membrane protein; Cytoplasm; Cytoplasm; perinuclear region;
p00519,Cytoplasm; cytoskeleton; Nucleus; Mitochondrion; Lipid-anchor; Nucleus; Nucleus membrane;
p42684,Cytoplasm; cytoskeleton;
q9um73,Cell membrane; Single-pass type I membrane protein; Membrane;
p30530,Cell membrane; Single-pass type I membrane protein; Cell membrane; Multi-pass membrane protein;
p51451,Cell membrane; Lipid-anchor; Membrane;
p51813,Cytoplasm;
q06187,Cytoplasm; Cell membrane; Peripheral membrane protein; Nucleus; cytosol; gem; Mitochondrion; Mitochondrion inner membrane; Single-pass membrane protein;
p07333,Cell membrane; Single-pass type I membrane protein;
p41240,Cytoplasm; Cell membrane;
q08345,Cell membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Secreted; Cell membrane; Single-pass type I membrane protein;
q16832,Cell membrane; Single-pass type I membrane protein;
p00533,Cell membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein; Golgi apparatus; Golgi apparatus membrane; Single-pass type I membrane protein; Nucleus; Nucleus membrane; Single-pass type I membrane protein; Endosome; Endosome; Endosome membrane; Nucleus; Secreted;
p21709,Cell membrane; Single-pass type I membrane protein;
q5jzy3,Cell membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Secreted;
p29317,Cell membrane; Single-pass type I membrane protein; Cell projection; ruffle; ruffle membrane; Single-pass type I membrane protein; Cell projection; lamellipodium; lamellipodium membrane; Single-pass type I membrane protein; Cell junction; focal adhesion; perinuclear region;
p29320,Cell membrane; Single-pass type I membrane protein; Secreted; Nucleus; Membrane; Multi-pass membrane protein;
p54764,Cell membrane; Single-pass type I membrane protein; axon; Cell projection; Cell projection; dendrite; Cell junction; postsynaptic density; postsynaptic density membrane; synapse; Early endosome; adherens junction; Cell junction;
p54756,Cell membrane; Single-pass type I membrane protein; axon; Cell projection; Cell projection; dendrite;
q9uf33,Membrane; Single-pass type I membrane protein;
q15375,Cell membrane; Single-pass type I membrane protein;
p29322,Cell membrane; Single-pass type I membrane protein; Cell projection; Early endosome; Early endosome membrane;
p54762,Cell membrane; Single-pass type I membrane protein; Early endosome; Early endosome membrane; Cell projection; dendrite;
p29323,Cell membrane; Single-pass type I membrane protein; axon; Cell projection; Cell projection; dendrite;
p54753,Cell membrane; Single-pass type I membrane protein; Cell projection; dendrite;
p54760,Cell membrane; Single-pass type I membrane protein;
o15197,Membrane; Single-pass type I membrane protein; Secreted;
p04626,Cell membrane; Single-pass type I membrane protein; Early endosome; Cytoplasm; perinuclear region; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus;
p21860,Cell membrane; Single-pass type I membrane protein; Secreted; Cell inner membrane; Multi-pass membrane protein; Secreted;
q15303,Cell membrane; Single-pass type I membrane protein; Nucleus; Mitochondrion;
p16591,Cytoplasm; Cytoplasm; cytoskeleton; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell projection; Cell junction; Cytoplasm; Cytoplasmic side; Membrane; Peripheral membrane protein; Nucleus; cell cortex; Cytoplasm; cell cortex;
p07332,Cytoplasm; cytosol; Cytoplasm; cytoskeleton; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cytoplasm; Cytoplasmic vesicle; Golgi apparatus; Cell junction; focal adhesion; cytosol; focal adhesion;
p11362,Cell membrane; Single-pass type I membrane protein; Nucleus; Cytoplasm; cytosol; Cytoplasm; Cytoplasmic vesicle; cytosol; Golgi apparatus;
p21802,Cell membrane; Single-pass type I membrane protein; Golgi apparatus; Cytoplasm; Cytoplasmic vesicle; Cell membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Secreted; Secreted;
p22607,Cell membrane; Single-pass type I membrane protein; Cytoplasm; Cytoplasmic vesicle; Endoplasmic reticulum; Cell membrane; Single-pass type I membrane protein; Secreted; Cell membrane; Single-pass type I membrane protein;
p22455,Cell membrane; Single-pass type I membrane protein; Endosome; Endoplasmic reticulum; Secreted; Cytoplasm;
p09769,Cell membrane; Cytoplasm; Cytoplasmic side; Lipid-anchor; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell projection; ruffle; ruffle membrane; Cytoplasm; cytosol; Cytoplasm; cytoskeleton; Mitochondrion; Mitochondrion inner membrane; Mitochondrion; Mitochondrion intermembrane space; ruffle;
