Kinase Accession,Subcellular Location
P35626,Cytoplasm; Cell membrane;
P32298,Cytoplasm; cell cortex; Cytoplasm;
P34947,Cell membrane; Multi-pass membrane protein; Endosome; Cytoplasm; Nucleus; Cell membrane; Peripheral membrane protein; Nucleus; Cytoplasm; Nucleus;
P43250,Multi-pass membrane protein; Photoreceptor inner segment; Photoreceptor inner segment membrane; Multi-pass membrane protein; Photoreceptor outer segment membrane; Lipid-anchor; Membrane;
Q8WTQ7,Lipid-anchor; Membrane;
O95835,Cytoplasm; Cytoplasm; cytoskeleton; Nucleus; Cell junction; focal adhesion; cytoskeleton; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Membrane; Mitochondrion; Nucleus; Cytoplasm; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; centrosome; spindle; spindle pole; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cell projection; Cytoplasm; Cytoplasmic side; filopodium; filopodium membrane; Peripheral membrane protein; Cell projection; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; ruffle; ruffle membrane; Nucleus; Cytoplasm; perinuclear region; Cytoplasm; Cytoplasmic granule; Cytoplasm; perinuclear region; Cytoplasm; Cytoplasmic granule; Nucleus; Cell projection; Cytoplasm; Cytoplasmic side; filopodium; filopodium membrane; Peripheral membrane protein; Cell projection; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; ruffle; ruffle membrane; Cytoplasm; perinuclear region; Cytoplasm; Cytoplasmic granule; Cytoplasm; cytoskeleton; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell projection; Cytoplasm; cytoskeleton; Nucleus; Nucleus; Cytoplasm; Cytoplasm; Nucleus; Cytoplasm; cytoskeleton; Cell projection; lamellipodium; lamellipodium; Nucleus; Cytoplasm; Mitochondrion; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; spindle; Cytoplasm; centrosome; Cytoplasm; Nucleus; Nucleus; Cytoplasm; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Nucleus; Cytoplasm; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell membrane; Single-pass type I membrane protein; Nucleus; Golgi apparatus; Cell membrane; Golgi apparatus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cajal body; Nucleus; Cytoplasm; Endosome; centrosome;
Q9NRM7,Cytoplasm; Nucleus; Cytoplasm; Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; Cytoplasm; cytoskeleton; spindle; spindle pole; Nucleus; centrosome; spindle; spindle pole; Cytoplasm; cytoskeleton; Cell membrane; Cell junction; Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; P-body; centrosome; Cytoplasm; Nucleus;
Q9Y2H9,Cell membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein; Golgi apparatus; Golgi apparatus membrane; Single-pass type I membrane protein; Nucleus; Nucleus membrane; Single-pass type I membrane protein; Endosome; Endosome; Endosome membrane; Nucleus; Secreted; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cytoplasm; cytoskeleton; axon; Cell projection; Cell projection; dendrite;
Q6P0Q8,Apical cell membrane; Multi-pass membrane protein; Apical cell membrane; Multi-pass membrane protein; Apical cell membrane; Single-pass type I membrane protein; Cell projection; microvillus; microvillus membrane; Single-pass type I membrane protein; Cell junction; Cytoplasm; cytoskeleton; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein;
O60307,Cytoplasm; Nucleus; Nucleus; PML body; Secreted;
O15021,Cytoplasm;
Q96GX5,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Nucleus; Cleavage furrow; centrosome;
O15530,Cytoplasm; cytosol; Preautophagosomal structure; autophagosome; phagosome; Cytoplasm; Nucleus; Cell membrane; Peripheral membrane protein; Cell junction; focal adhesion; perinuclear region; focal adhesion; Cytoplasm; Cytoplasm; cytoskeleton; Membrane; Cytoplasm; Mitochondrion; Mitochondrion; Mitochondrion outer membrane; cytosol; cytosol; Cytoplasm; Nucleus; Cell membrane; Nucleus;
Q6A1A2,Cytoplasm; Membrane; Peripheral membrane protein;
Q16512,Cytoplasm; Cytoplasm; cytoskeleton; Nucleus; Nucleus matrix; Cytoplasm; Nucleus; Endosome; Cell membrane; Peripheral membrane protein; Cleavage furrow; Midbody; Cytoplasm; Nucleus; Mitochondrion; sarcolemma; Cytoplasm; Cytoplasm; cytoskeleton; Cytoplasm; cytoskeleton; spindle; spindle; Cytoplasm; Nucleus; Cytoplasm; Cell junction; postsynaptic density; synapse; Cell junction; synapse; cis-Golgi network; cis-Golgi network membrane; Cytoplasm; Cytoplasmic side; Golgi apparatus; Peripheral membrane protein; Cytoplasm; Cytoplasmic side; Endoplasmic reticulum; Endoplasmic reticulum-Golgi intermediate compartment; Endoplasmic reticulum-Golgi intermediate compartment membrane; Peripheral membrane protein; Cytoplasm; cytoskeleton; spindle; spindle pole; spindle; adherens junction; Cell junction; Nucleus; centriolar satellite; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; cilium; cilium basal body; Cytoplasm; cytoskeleton; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; adherens junction; Cell junction;
Q16513,Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass membrane protein; Host; Host mitochondrion; Host mitochondrion membrane; Single-pass type I membrane protein; Host; Host lipid droplet; Virion; Host; Host cytoplasm; Host; Host nucleus; Secreted; Single-pass type I membrane protein; Virion; Virion membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass type I membrane protein; Single-pass type I membrane protein; Virion; Virion membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass type I membrane protein; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Multi-pass membrane protein; Host; Host cell; Host cell membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Multi-pass membrane protein; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Peripheral membrane protein; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass type I membrane protein; Host; Host membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Multi-pass membrane protein; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Peripheral membrane protein; Host; Host cytoplasm; host perinuclear region; perinuclear region; Host; Host mitochondrion; Host; Host membrane; Host; Host endoplasmic reticulum; Host endoplasmic reticulum membrane; Single-pass type I membrane protein; Host; Host membrane; Cytoplasm; Nucleus; Membrane; Cell projection; lamellipodium; Cytoplasm; cytoskeleton; Cleavage furrow; Midbody; Cell junction; perinuclear region; Mitochondrion; Mitochondrion matrix;
Q6P5Z2,Cytoplasm; Cytoplasm; perinuclear region; Cell membrane; Nucleus; Cytoplasm; perinuclear region; Cell junction; focal adhesion; Cytoplasm; cytoskeleton; stress fiber;
P17612,Cytoplasm; Cell membrane; Nucleus; Mitochondrion; Lipid-anchor; Membrane; Cell projection; cilium; flagellum; acrosome; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; flagellum; acrosome;
P22694,Nucleus; Cytoplasm; cytoskeleton; Membrane; Peripheral membrane protein; Cytoplasm; Cell membrane; Lipid-anchor; Membrane; Nucleus; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted;
P22612,
P17252,Cytoplasm; Nucleus; Cell membrane; Membrane; Single-pass type I membrane protein; Secreted; Secreted; Cytoplasm; Cell membrane; Peripheral membrane protein; Mitochondrion; Mitochondrion membrane; Peripheral membrane protein; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Cytoplasm; cytoskeleton; Nucleus; Perikaryon; Cell projection; dendrite; axon; Cell projection; Cell membrane; Peripheral membrane protein; Cell membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein; Golgi apparatus; Golgi apparatus membrane; Single-pass type I membrane protein; Nucleus; Nucleus membrane; Single-pass type I membrane protein; Endosome; Endosome; Endosome membrane; Nucleus; Secreted;
P05771,Midbody; Cytoplasm; cytoskeleton; spindle; spindle; Cytoplasm; Nucleus; Membrane; Peripheral membrane protein; Nucleus; Chromosome; telomere; telomere; Nucleus; Nucleus matrix;
Q05655,Cytoplasm; nucleoplasm; Nucleus; nucleoplasm; Cytoplasm; Nucleus; Cytoplasm; Cytoplasm; perinuclear region; Nucleus; Cell membrane; Peripheral membrane protein; Secreted; Cytoplasm; Nucleus; Cell membrane; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell projection; Cytoplasm; Cytoplasmic side; growth cone; growth cone membrane; Peripheral membrane protein; Cell junction; synapse; Cell projection; filopodium; filopodium membrane; Peripheral membrane protein; Perikaryon; Cell projection; dendrite; axon; Cell projection; Cytoplasm; Cytoplasm; growth cone; Cytoplasm; Nucleus; Nucleus; PML body; Endoplasmic reticulum; Mitochondrion; Mitochondrion matrix; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Cytoplasm; Cytoplasm; Membrane; Membrane raft; Mitochondrion; cytosol;
Q02156,Cytoplasm; Melanosome; Nucleus; Cytoplasm; Cytoplasm; Cytoplasm; cytoskeleton; Cell membrane; Cytoplasm; perinuclear region; Nucleus; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted;
P05129,Cytoplasm; Cytoplasm; perinuclear region; Cell membrane; Peripheral membrane protein; Cell junction; synapse; synaptosome; Cell projection; dendrite;
P24723,Cytoplasm; Cell membrane; Multi-pass membrane protein; Cell junction; tight junction; Cell membrane; Multi-pass membrane protein; Cell junction; tight junction;
P41743,nucleolus; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus; Cell membrane; Cytoplasm; Cytoplasmic side; Lipid-anchor; Melanosome; Cytoplasm; Cell projection; lamellipodium; ruffle; lamellipodium; Nucleus; Cytoplasm; Membrane; Endosome; Nucleus; Cytoplasm; Cell membrane; Cell projection; ruffle; Cell junction; tight junction; centriolar satellite; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; ruffle; tight junction; centrosome; Cytoplasm; Cell membrane; Cell junction; tight junction; Cytoplasm; Endomembrane system; Cell junction; Cell junction; tight junction; adherens junction; Cell junction; Cell membrane; cell cortex; Cytoplasm; Cytoplasm; cytoskeleton; tight junction; spindle; Cytoplasm; Endosome; Cell junction; Membrane; Peripheral membrane protein; Cytoplasm; Cytoplasm; cytosol; Late endosome; Lysosome; autophagosome; Cytoplasm; Cytoplasmic vesicle; phagosome; Nucleus; Endoplasmic reticulum; Nucleus; PML body; Cytoplasm; myofibril; sarcomere; autophagosome; phagosome; Cytoplasm; Cell membrane; Cell junction; tight junction; Cell membrane; Cytoplasm; Cytoplasmic side; Lipid-anchor; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; spindle; Midbody; Cell projection; dendrite; spindle; spindle; centrosome; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; microtubule organizing center; cilium; cilium basal body; Cytoplasm; cytoskeleton; axon; cilium; cilium axoneme; Cytoplasm; cytoskeleton; Cytoplasm; Cell projection; dendrite;
Q04759,Cytoplasm; Cell membrane; Peripheral membrane protein; synapse; Cytoplasm; Cell membrane; Cytoplasm; Cytoplasmic side; Lipid-anchor; Nucleus; Cytoplasm; nucleoplasm; Nucleus; Cytoplasm; perinuclear region; Cytoplasm; cytoskeleton; spindle; spindle pole; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; centromere; Chromosome; kinetochore; kinetochore; centrosome; spindle; spindle pole; spindle; spindle pole; Cytoplasm; Endosome; Cell junction; Membrane; Peripheral membrane protein; Cytoplasm; Cytoplasm; Cell membrane; Peripheral membrane protein; Nucleus; cytosol; gem; Cytoplasm; Nucleus; Cell membrane; Cytoplasm; cytosol; cell cortex; Cytoplasm; Cytoplasm; myofibril; sarcomere; Z line; Z line;
Q05513,Membrane; Peripheral membrane protein; Cytoplasm; Cell membrane; Peripheral membrane protein; synapse; Cell membrane; Single-pass type I membrane protein; Secreted; Cell membrane; Single-pass type I membrane protein; Cytoplasm; perinuclear region; Membrane; Membrane raft; Cytoplasm; Membrane; Endosome; Nucleus; Cytoplasm; Cell membrane; Cell projection; ruffle; Cell junction; tight junction; centriolar satellite; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; ruffle; tight junction; centrosome; Cytoplasm; Cell membrane; Cell junction; tight junction; Cytoplasm; Endosome; Cell junction; Membrane; Peripheral membrane protein; Cytoplasm; Cytoplasm; Membrane; Peripheral membrane protein; Nucleus; Cytoplasm; Nucleus; Cytoplasm; cytosol; Cytoplasm; Cytoplasmic side; Membrane; Peripheral membrane protein; Cytoplasm; Cell membrane; Cell junction; tight junction; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted; Nucleus; cell cortex; Cytoplasm; Cell junction; tight junction; Cell membrane; Single-pass type I membrane protein; tight junction; Mitochondrion; Mitochondrion matrix; Nucleus; Cell membrane; Extracellular side; Peripheral membrane protein; Secreted; Cytoplasm; nucleolus; Nucleus; Secreted; Cytoplasm; Nucleus; Cell membrane; Nucleus;
Q13976,Cytoplasm;
Q13237,Apical cell membrane; Lipid-anchor;
P51817,Nucleus; Cytoplasm; Nucleus; Cell membrane; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted; Nucleus;
O43930,
Q13464,Nucleus; Cytoplasm; Nucleus; Cell membrane; Cytoplasm; Cytoplasmic side; Lipid-anchor; Cytoplasm; cytoskeleton; Cleavage furrow; cell cortex; Cytoplasm; Midbody; Cell projection; lamellipodium; Cell projection; dendrite; cell cortex; Cytoplasm; centriole; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Golgi apparatus; Golgi apparatus membrane; Peripheral membrane protein; bleb; Cell projection; Cytoplasm; cytoskeleton; Cell membrane; Cell projection; lamellipodium; Cell projection; ruffle; centriole; ruffle; Cytoplasm; Cytoplasm; Cytoplasmic side; Early endosome; Early endosome membrane; Peripheral membrane protein; Late endosome; Late endosome membrane; Peripheral membrane protein; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Midbody; Midbody ring; Nucleus; Membrane; axon; cilium; cilium axoneme; Cytoplasm; cytoskeleton; Membrane; Single-pass membrane protein; adherens junction; Cell junction;
O75116,Cytoplasm; Cell membrane; Peripheral membrane protein; Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; Cytoplasm; Nucleus; Endomembrane system; Peripheral membrane protein; Cytoplasm; Nucleus;
Q15418,Cytoplasm; Cytoplasm; cytoskeleton; Cell junction; focal adhesion; Cell junction; tight junction; Cell projection; lamellipodium; lamellipodium membrane; Cell projection; filopodium; filopodium membrane; focal adhesion; stress fiber; focal adhesion; Cell membrane; Peripheral membrane protein; adherens junction; Cell junction; Cell projection; lamellipodium; Cytoplasm; Cell junction; postsynapse; synapse; Cell junction; presynapse; synapse; Cytoplasm; cytoskeleton; spindle; Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; caveola; Membrane; spindle; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Endosome; Nucleus; Nucleus; Nucleus matrix; nucleolus; Nucleus; Cytoplasm; nucleolus;
Q15349,Cell membrane; Peripheral membrane protein; adherens junction; Cell junction; Cell projection; lamellipodium; Cytoplasm; Cell junction; postsynapse; synapse; Cell junction; presynapse; synapse; Cytoplasm; Cell junction; postsynaptic density; synapse; Cell junction; synapse; Nucleus; Cytoplasm; Cytoplasm; cytoskeleton; spindle; Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; caveola; Membrane; spindle; Cytoplasm; Cytoplasm; cytoskeleton; Cell membrane; Cytoplasm; perinuclear region; Nucleus; Cytoplasm; Nucleus; caveola; Membrane; Nucleus; Cytoplasm; Cell membrane;
P51812,Cytoplasm; cytoskeleton; spindle; Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; caveola; Membrane; spindle; Nucleus; Cytoplasm;
O75676,Nucleus; Cytoplasm; Nucleus;
O75582,Nucleus; Cytoplasm;
Q9UK32,Cytoplasm; cytosol; Nucleus; cytosol;
P23443,Cytoplasm; Nucleus; Cytoplasm; Nucleus; Nucleus; Cytoplasm; Cytoplasm; Cell junction; synapse; synaptosome; Mitochondrion; Mitochondrion outer membrane; Mitochondrion; Nucleus; Cytoplasm; Cytoplasm; Cytoplasm; Cytoplasm; cytoskeleton; Membrane; Cytoplasm; Mitochondrion; Mitochondrion; Mitochondrion outer membrane; cytosol; cytosol; Cytoplasm; Nucleus; Cell membrane; Nucleus;
Q9UBS0,Cytoplasm; Nucleus;
O00141,Cytoplasm; Nucleus; Endoplasmic reticulum; Endoplasmic reticulum membrane; Cell membrane; Mitochondrion; Cell membrane;
Q9HBY8,Cytoplasm; Nucleus;
Q96BR1,Cytoplasm; Cytoplasmic vesicle; Early endosome; Recycling endosome; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cytoplasm; Nucleus; Cytoplasm; Cytoplasmic side; Early endosome; Early endosome membrane; Peripheral membrane protein; Cytoplasm; Cytoplasmic side; Endosome; Endosome membrane; Peripheral membrane protein;
Q15208,Nucleus; Cytoplasm; Cytoplasm; Nucleus; Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Secreted; Cytoplasm; Nucleus; Cell membrane; clathrin-coated pit; coated pit; Membrane; Cell projection; pseudopodium; Cytoplasm; Cytoplasmic vesicle; Cytoplasm; Nucleus; Cell membrane; clathrin-coated pit; coated pit; Membrane; Cytoplasm; Cytoplasmic vesicle;
Q9Y2H1,Nucleus; Cytoplasm; perinuclear region; Cytoplasm; Cytoplasm; cytoskeleton; Membrane; cytoskeleton; Cytoplasm;
Q8TDC3,Cytoplasm; Nucleus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cell junction; synapse; Cell junction; presynaptic active zone; synapse; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; synaptic vesicle;
Q8IWQ3,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; perinuclear region; Endoplasmic reticulum; centrosome;
Q14012,Cytoplasm; Nucleus;
Q8IU85,Cytoplasm; Nucleus;
Q96NX5,Cytoplasm; Golgi apparatus; Golgi apparatus membrane; Peripheral membrane protein; Cell membrane; Peripheral membrane protein;
Q9UQM7,Nucleus; Cell membrane; Multi-pass membrane protein; Cell junction; Multi-pass membrane protein; postsynaptic cell membrane; synapse; synaptic cell membrane; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; sarcolemma; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Sarcoplasmic reticulum; Sarcoplasmic reticulum membrane; Cytoplasm; cytoskeleton; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Sarcoplasmic reticulum; Sarcoplasmic reticulum membrane; Cell junction; synapse; Cell junction; synapse; Cell junction; postsynaptic density; synapse; Cell projection; dendritic spine; Cell projection; dendrite;
Q13554,Nucleus; Cytoplasm; nucleolus; Nucleus; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Cytoplasmic side; Lipid-anchor; Recycling endosome; Recycling endosome membrane; Nucleus; Cytoplasm; Cell membrane; Cytoplasm; Cytoplasmic side; Lipid-anchor; Nucleus; Cytoplasm; Cytoplasm; P-body; Nucleus; nucleolus; Nucleus; Cytoplasm; Mitochondrion; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; sarcolemma; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Sarcoplasmic reticulum; Sarcoplasmic reticulum membrane; Cytoplasm; cytoskeleton; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Sarcoplasmic reticulum; Sarcoplasmic reticulum membrane; Cell junction; synapse; Nucleus; Nucleus; Cytoplasm; cytoskeleton; spindle; Cytoplasm; Chromosome; Cell junction; synapse; Cell junction; postsynaptic density; synapse; Cell projection; dendritic spine; Cell projection; dendrite; Cytoplasm; cytosol; Cytoplasm; cytosol; Mitochondrion; Mitochondrion;
