Kinase name,Accession Code
MP2K7_HUMAN,O14733
M3K1_HUMAN,Q13233
M3K10_HUMAN,Q02779
M3K11_HUMAN,Q16584
M3K12_HUMAN,Q12852
M3K13_HUMAN,O43283
M3K14_HUMAN,Q99558
M3K15_HUMAN,Q6ZN16
M3K19_HUMAN,Q56UN5
M3K2_HUMAN,Q9Y2U5
M3K20_HUMAN,Q9NYL2
M3K21_HUMAN,Q5TCX8
M3K3_HUMAN,Q99759
M3K4_HUMAN,Q9Y6R4
M3K5_HUMAN,Q99683
M3K6_HUMAN,O95382
M3K7_HUMAN,O43318
M3K8_HUMAN,P41279
M3K9_HUMAN,P80192
M4K1_HUMAN,Q92918
M4K2_HUMAN,Q12851
M4K3_HUMAN,Q8IVH8
M4K4_HUMAN,O95819
M4K5_HUMAN,Q9Y4K4
MINK1_HUMAN,Q8N4C8
MYO3A_HUMAN,Q8NEV4
MYO3B_HUMAN,Q8WXR4
NRK_HUMAN,Q7Z2Y5
OXSR1_HUMAN,O95747
PAK1_HUMAN,Q13153
PAK2_HUMAN,Q13177
PAK3_HUMAN,O75914
PAK4_HUMAN,O96013
PAK5_HUMAN,Q9P286
PAK6_HUMAN,Q9NQU5
TOPK_HUMAN,Q96KB5
SLK_HUMAN,Q9H2G2
STK10_HUMAN,O94804
STK24_HUMAN,Q9Y6E0
STK25_HUMAN,O00506
STK26_HUMAN,Q9P289
STK3_HUMAN,Q13188
STK39_HUMAN,Q9UEW8
STK4_HUMAN,Q13043
STRAA_HUMAN,Q7RTN6
STRAB_HUMAN,Q9C0K7
TAOK1_HUMAN,Q7L7X3
TAOK2_HUMAN,Q9UL54
TAOK3_HUMAN,Q9H2K8
TNIK_HUMAN,Q9UKE5
ACVR1_HUMAN,Q04771
ACV1B_HUMAN,P36896
ACV1C_HUMAN,Q8NER5
AVR2A_HUMAN,P27037
AVR2B_HUMAN,Q13705
ACVL1_HUMAN,P37023
AMHR2_HUMAN,Q16671
ANKK1_HUMAN,Q8NFD2
ARAF_HUMAN,P10398
BMR1A_HUMAN,P36894
BMR1B_HUMAN,O00238
BMPR2_HUMAN,Q13873
BRAF_HUMAN,P15056
ILK_HUMAN,Q13418
IRAK1_HUMAN,P51617
IRAK2_HUMAN,O43187
IRAK3_HUMAN,Q9Y616
IRAK4_HUMAN,Q9NWZ3
KSR1_HUMAN,Q8IVT5
KSR2_HUMAN,Q6VAB6
LIMK1_HUMAN,P53667
LIMK2_HUMAN,P53671
LRRK1_HUMAN,Q38SD2
LRRK2_HUMAN,Q5S007
RAF1_HUMAN,P04049
RIPK1_HUMAN,Q13546
RIPK2_HUMAN,O43353
RIPK3_HUMAN,Q9Y572
RIPK4_HUMAN,P57078
TESK1_HUMAN,Q15569
TESK2_HUMAN,Q96S53
TGFR1_HUMAN,P36897
TGFR2_HUMAN,P37173
TNI3K_HUMAN,Q59H18
LMTK1_HUMAN,Q6ZMQ8
ABL1_HUMAN,P00519
ABL2_HUMAN,P42684
ALK_HUMAN,Q9UM73
UFO_HUMAN,P30530
BLK_HUMAN,P51451
BMX_HUMAN,P51813
BTK_HUMAN,Q06187
CSF1R_HUMAN,P07333
CSK_HUMAN,P41240
DDR1_HUMAN,Q08345
DDR2_HUMAN,Q16832
EGFR_HUMAN,P00533
EPHA1_HUMAN,P21709
EPHAA_HUMAN,Q5JZY3
EPHA2_HUMAN,P29317
EPHA3_HUMAN,P29320
EPHA4_HUMAN,P54764
EPHA5_HUMAN,P54756
EPHA6_HUMAN,Q9UF33
EPHA7_HUMAN,Q15375
EPHA8_HUMAN,P29322
EPHB1_HUMAN,P54762
EPHB2_HUMAN,P29323
EPHB3_HUMAN,P54753
EPHB4_HUMAN,P54760
EPHB6_HUMAN,O15197
ERBB2_HUMAN,P04626
ERBB3_HUMAN,P21860
ERBB4_HUMAN,Q15303
FER_HUMAN,P16591
FES_HUMAN,P07332
FGFR1_HUMAN,P11362
FGFR2_HUMAN,P21802
FGFR3_HUMAN,P22607
FGFR4_HUMAN,P22455
FGR_HUMAN,P09769
VGFR1_HUMAN,P17948
FLT3_HUMAN,P36888
VGFR3_HUMAN,P35916
FRK_HUMAN,P42685
FYN_HUMAN,P06241
HCK_HUMAN,P08631
IGF1R_HUMAN,P08069
INSR_HUMAN,P06213
INSRR_HUMAN,P14616
ITK_HUMAN,Q08881
JAK1_HUMAN,P23458
JAK2_HUMAN,O60674
JAK3_HUMAN,P52333
VGFR2_HUMAN,P35968
KIT_HUMAN,P10721
LCK_HUMAN,P06239
LMTK2_HUMAN,Q8IWU2
LMTK3_HUMAN,Q96Q04
LTK_HUMAN,P29376
LYN_HUMAN,P07948
MATK_HUMAN,P42679
MERTK_HUMAN,Q12866
MET_HUMAN,P08581
RON_HUMAN,Q04912
MUSK_HUMAN,O15146
NTRK1_HUMAN,P04629
NTRK2_HUMAN,Q16620
NTRK3_HUMAN,Q16288
PGFRA_HUMAN,P16234
PGFRB_HUMAN,P09619
FAK1_HUMAN,Q05397
FAK2_HUMAN,Q14289
PTK6_HUMAN,Q13882
PTK7_HUMAN,Q13308
RET_HUMAN,P07949
ROR1_HUMAN,Q01973
ROR2_HUMAN,Q01974
ROS1_HUMAN,P08922
RYK_HUMAN,P34925
SRC_HUMAN,P12931
SRMS_HUMAN,Q9H3Y6
STYK1_HUMAN,Q6J9G0
KSYK_HUMAN,P43405
TEC_HUMAN,P42680
TIE2_HUMAN,Q02763
TIE1_HUMAN,P35590
TNK1_HUMAN,Q13470
ACK1_HUMAN,Q07912
TXK_HUMAN,P42681
TYK2_HUMAN,P29597
TYRO3_HUMAN,Q06418
YES_HUMAN,P07947
ZAP70_HUMAN,P43403
AAK1_HUMAN,Q2M2I8
AURKA_HUMAN,O14965
AURKB_HUMAN,Q96GD4
AURKC_HUMAN,Q9UQB9
BMP2K_HUMAN,Q9NSY1
BUB1_HUMAN,O43683
BUB1B_HUMAN,O60566
KKCC1_HUMAN,Q8N5S9
KKCC2_HUMAN,Q96RR4
CDC7_HUMAN,O00311
IKKA_HUMAN,O15111
CSK21_HUMAN,P68400
CSK22_HUMAN,P19784
CSK23_HUMAN,Q8NEV1
DUSTY_HUMAN,Q6XUX3
E2AK1_HUMAN,Q9BQI3
E2AK2_HUMAN,P19525
E2AK3_HUMAN,Q9NZJ5
E2AK4_HUMAN,Q9P2K8
ERN1_HUMAN,O75460
ERN2_HUMAN,Q76MJ5
GAK_HUMAN,O14976
HASP_HUMAN,Q8TF76
IKKB_HUMAN,O14920
IKKE_HUMAN,Q14164
MLKL_HUMAN,Q8NB16
MOS_HUMAN,P00540
NRBP_HUMAN,Q9UHY1
NRBP2_HUMAN,Q9NSY0
PAN3_HUMAN,Q58A45
PDK1L_HUMAN,Q8N165
PEAK1_HUMAN,Q9H792
PI3R4_HUMAN,Q99570
PINK1_HUMAN,Q9BXM7
PKDCC_HUMAN,Q504Y2
PMYT1_HUMAN,Q99640
PLK1_HUMAN,P53350
PLK2_HUMAN,Q9NYY3
PLK3_HUMAN,Q9H4B4
PLK4_HUMAN,O00444
PLK5_HUMAN,Q496M5
SG196_HUMAN,Q9H5K3
PRAG1_HUMAN,Q86YV5
PXK_HUMAN,Q7Z7A4
RN5A_HUMAN,Q05823
KS6C1_HUMAN,Q96S38
RPKL1_HUMAN,Q9Y6S9
KS6R_HUMAN,Q96LW2
SBK1_HUMAN,Q52WX2
SBK2_HUMAN,P0C263
SBK3_HUMAN,P0C264
SCYL1_HUMAN,Q96KG9
SCYL2_HUMAN,Q6P3W7
PACE1_HUMAN,Q8IZE3
STK16_HUMAN,O75716
STK31_HUMAN,Q9BXU1
ST32A_HUMAN,Q8WU08
ST32B_HUMAN,Q9NY57
ST32C_HUMAN,Q86UX6
STK35_HUMAN,Q8TDR2
STK36_HUMAN,Q9NRP7
STKL1_HUMAN,Q8NE28
TBCK_HUMAN,Q8TEA7
TBK1_HUMAN,Q9UHD2
TEX14_HUMAN,Q8IWB6
TLK1_HUMAN,Q9UKI8
TLK2_HUMAN,Q86UE8
PRPK_HUMAN,Q96S44
TTK_HUMAN,P33981
UHMK1_HUMAN,Q8TAS1
ULK1_HUMAN,O75385
ULK2_HUMAN,Q8IYT8
ULK3_HUMAN,Q6PHR2
ULK4_HUMAN,Q96C45
WEE1_HUMAN,P30291
WEE2_HUMAN,P0C1S8
WNK1_HUMAN,Q9H4A3
WNK2_HUMAN,Q9Y3S1
WNK3_HUMAN,Q9BYP7
WNK4_HUMAN,Q96J92
ADCK1_HUMAN,Q86TW2
ADCK2_HUMAN,Q7Z695
ADCK5_HUMAN,Q3MIX3
COQ8A_HUMAN,Q8NI60
COQ8B_HUMAN,Q96D53
ALPK1_HUMAN,Q96QP1
ALPK2_HUMAN,Q86TB3
ALPK3_HUMAN,Q96L96
EF2K_HUMAN,O00418
TRPM6_HUMAN,Q9BX84
TRPM7_HUMAN,Q96QT4
FASTK_HUMAN,Q14296
BCKD_HUMAN,O14874
PDK1_HUMAN,Q15118
PDK2_HUMAN,Q15119
PDK3_HUMAN,Q15120
PDK4_HUMAN,Q16654
ATM_HUMAN,Q13315
ATR_HUMAN,Q13535
MTOR_HUMAN,P42345
PK3CA_HUMAN,P42336
PK3CB_HUMAN,P42338
PK3CD_HUMAN,O00329
PK3CG_HUMAN,P48736
PRKDC_HUMAN,P78527
SMG1_HUMAN,Q96Q15
